,text,pre_annotation,all,agreement %
d_661,Mis compañeros son unos vagos,['etiquetado'],[],0.0
d_999,"Saldrá todo mal, fatal",['catastrofismo'],"['adivinación', 'catastrofismo']",100.0
t_224,No hay nada peor que quedarse dormido en una reuión de trabajo,[],['catastrofismo'],0.0
d_1283,"Me siento mal, seguro que tengo alguna enfermedad grave",['razonamiento emocional'],"['razonamiento emocional', 'catastrofismo', 'abstracción selectiva']",100.0
d_670,mi amiga es una hipocrita,['etiquetado'],[],0.0
t_269,"Debo haber sido el primero en llegar, aquí no hay nadie",[],[],0.0
a_1168,"Fue un momento desagradable, pero lo cierto es que también hubo momentos de las vacaciones los cuales disfruté.",[],[],0.0
a_542,"No hace falta esperar a que me pregunten para decir a los demás como estoy, puedo dar yo el paso y contarlo",[],[],0.0
t_424,Si algo no me preocupa suelo pensar que no tiene importancia,[],[],0.0
a_487,A veces puedo necesitar ayuda de los demás y no pasa nada,[],[],0.0
d_216,en mi trabajo nunca me tienen en cuenta,['sobregeneralización'],['sobregeneralización'],100.0
d_1487,"Tenia prisa y he cambiado de calle con el coche y justo ha habido un accidente, si no hubiera cambiado no habría pasado nada.",['personalización'],[],0.0
a_284,Hay momentos de caos pero otros tranquilos,[],[],0.0
d_1021,"Será lo peor del mundo, ni me lo quiero imaginar",['catastrofismo'],"['adivinación', 'catastrofismo']",100.0
d_959,estoy segura de que no haré bien lo que se espera de mí,['adivinación'],"['personalización', 'adivinación']",100.0
a_1427,No puedo sacar eso tipo de conclusiones con solo una mirada,[],[],0.0
a_753,"Además del trabajo hay muchas otras cosas importantes en la vida, es importante valorar todo lo que hago en conjunto",[],[],0.0
d_1511,"Cuando estoy en el gimnasio noto como la gente me mira, deben pensar que hago el ridículo","['personalización', 'leer la mente']",['leer la mente'],50.0
t_381,El hecho de perder el bus hizo que llegase justo a tiempo de la ceremonia y no tuviese que esperar,[],[],0.0
a_1418,Que se me haya quemado la comida una vez no quiere decir que sea una mala cocinera,[],[],0.0
d_1168,Perdí la cartera el fin de semana y sentí que fueron las peores vacaciones de mi vida ,"['abstracción selectiva', 'catastrofismo']","['razonamiento emocional', 'catastrofismo']",50.0
a_703,A veces hace actos que a mi parecer son simbolo de mala educación ,[],[],0.0
a_995,"puede que haya cosas que te ayuden y te faciliten estar mejor, solo lo podremos saber si lo intentamos sin aislarnos.",[],[],0.0
a_427,Se están riendo y no se muy bien por qué motivo. ,[],[],0.0
a_1403,Puede ser que aunque hubiese ido más rápido tampoco quedaran entradas,[],[],0.0
d_1394,"Cuando mi padre ha dicho que teniamos que comer mejor, seguro que lo ha dicho porque ha notado que me he engordado.",['personalización'],"['adivinación', 'abstracción selectiva']",0.0
t_321,Las lluvias torrenciales serán fatales para la naturaleza,[],[],0.0
a_1112,me equivoco más a menudo de lo que me gustaría,[],[],0.0
d_418,"No lo reconoce pero, el director del colegio me tiene manía.",['leer la mente'],['leer la mente'],100.0
d_1458,"Estabamos comiendo y alguien ha dicho que deberíamos comer más sano, se que lo dice por mi",['personalización'],"['leer la mente', 'personalización']",100.0
d_314,Siempre tendré insomnio,['sobregeneralización'],['pensamiento absolutista'],0.0
d_445,Sé que mi amigo ha perdido la confianza en mi,['leer la mente'],"['adivinación', 'leer la mente']",100.0
a_420,"Si nunca se lo he preguntado, no puedo saber lo que prefiere mi hermano ",[],[],0.0
a_1291,"Siento verguenza por lo mal que lo he hecho, pero es solo mi emoción. Puede que los otros no se hayan dado cuenta",[],[],0.0
a_1083,"mejor centrarse en ir paso a paso, a ver qué sucede finalmente",[],[],0.0
a_450,Con la mirada no puedo saber qué es lo que piensan. Será mejor preguntarles,[],[],0.0
a_205,Mi familia a veces no me tiene en cuenta,[],[],0.0
d_595,"Deberia ser más eficaz y acabar de una vez las cosas, siempre tengo cosas pendientes por hacer","['imperativos', 'sobregeneralización']","['sobregeneralización', 'imperativos']",100.0
a_486,Si muestro mis sentimientos a los demás me podran comprender más facilmente,[],[],0.0
a_800,Ninguna emoción es buena ni mala ni duran permanentemente,[],[],0.0
t_354,Hay gente que me lo está haciendo pasar mal,[],[],0.0
a_1219,Que no te convoque no quiere decir que seas un mal futbolista ,[],[],0.0
a_575,Me gusta sentirme seguro,[],[],0.0
a_1433,Si el vino no estaba bueno no es mi culpa,[],[],0.0
a_344,"A veces, por lo que me dicen,  pienso que a mis amigos no les gusto como soy, pero realmente ellos siguen siendo mis amigos",[],[],0.0
d_271,La ansiedad nunca se irá,['sobregeneralización'],"['pensamiento absolutista', 'adivinación']",0.0
d_1475,"Han entrado a robar esta noche a mi casa, debería haberme preparado antes y poner una alarma. ","['personalización', 'imperativos']",[],0.0
d_1372,"Si me siento feliz, pasará algo malo que lo estropee","['razonamiento emocional', 'catastrofismo']","['catastrofismo', 'adivinación', 'razonamiento emocional']",100.0
d_570,Debería estar siempre acompañado,"['imperativos', 'sobregeneralización']",['imperativos'],50.0
d_1221,La cena ha sido horrible. He ido al restaurante al que siempre voy y no tenían mi postre favorito.,"['abstracción selectiva', 'catastrofismo']","['abstracción selectiva', 'catastrofismo']",100.0
t_202,Todos nos podemos equivocar,[],[],0.0
d_1302,"Me siento enfadado, alguien me habrá fallado",['razonamiento emocional'],"['razonamiento emocional', 'adivinación']",100.0
d_663,mi amiga es muy agresiva,['etiquetado'],[],0.0
a_605,Intentaré no anticipar lo que puedan hacer los demás y si realmente necesito algo pedirlo asertivamente,[],[],0.0
a_215,A veces me salen cosas mal,[],[],0.0
a_680,En ocasiones me molesta como me habla mi madre,[],[],0.0
a_1196,Que hable con otro chico no significa que quiera dejarme ,[],[],0.0
d_1198,Mi marido no me ha dado los buenos días esta mañana. Seguro que está enfadado conmigo.,"['abstracción selectiva', 'leer la mente']",['personalización'],0.0
d_971,"Me va a ir mal en este examen, para variar",['adivinación'],['adivinación'],100.0
a_1264,"Siento que nadie me comprende, puede que sea por muchos motivos, no tiene porqué significar que soy un bicho raro",[],[],0.0
a_814,Ser popular no es la única señal de valoación de los demás hacia mi,[],[],0.0
d_1109,Si a alguien tiene que pasarle algo malo siempre es a mi,['catastrofismo'],['personalización'],0.0
a_1012,Probablemente también habrá cosas positivas,[],[],0.0
a_452,Quizás mis padres piensen que tendria que haber estudiado otra cosa; hablaré con ellos. ,[],[],0.0
t_235,Sé que tengo cita con el abogado a las 13h,[],[],0.0
d_894,"por mucho que cambie, sé que seguiré siendo un fracasado","['adivinación', 'etiquetado']","['pensamiento absolutista', 'catastrofismo']",0.0
t_288,O sigo cada uno de los pasos propuestos en la receta o probablemente el pastel sea un fracaso,[],['pensamiento absolutista'],0.0
t_432,"No te sientes! con fuerzas,  lo vas a conseguir!",[],[],0.0
t_261,Debería ser más vistoso ese cartel. Apenas puede leerse,[],[],0.0
t_397,Se divirtieron muchísimo con la actuación. Lástima que acabase tan pronto,[],[],0.0
t_348,"Como trabajador, hay cosas que no hago bien",[],[],0.0
t_448,"Si quisieras ayudarme, no me dirías solo las cosas que hago mal",[],[],0.0
a_1515,No es culpa mía haber cogido covid,[],[],0.0
a_821,Le doy sentido a mi vida haciendo cosas útiles o simplemente contemplándola,[],[],0.0
a_1462,No tenía manera de saber que iba a llover tanto,[],[],0.0
t_281,O la fiesta de fin de año del trabajo es un éxito o para el año próximo cambiamos de empresa organizadora,[],['pensamiento absolutista'],0.0
a_971,"Puede que me vaya mal en el examen, pero si me lo preparo es más probable que aprueve. ",[],[],0.0
a_934,si explico lo que me pasa puede que me sienta más comprendido y eso me haga estar mejor,[],[],0.0
a_581,No es necesario dejarlo todo para encauzar nuestra vida. Puedo hacer cambios sin empezar de zero.,[],[],0.0
a_1328,"Me estoy agoviando, esto hace que me sea más dificil responder las preguntas, pero puedo acertarlas. Voy a intentar relajarme y seguir",[],[],0.0
t_451,"Estoy contenta estudiando, aunque he escogido mal la carrera",[],[],0.0
d_532,Tengo que parecer inteligente ante los demás,['imperativos'],['imperativos'],100.0
d_1149,"Soy una decepción para mi padre. A menudo me elogia cuando hago algo, pero a veces se enfada cuando no hago las cosas bien.","['abstracción selectiva', 'etiquetado']",['abstracción selectiva'],50.0
d_613,No soy bueno,['etiquetado'],['etiquetado'],100.0
a_852,Si dedico tiempo a buscar empleo acabará saliendo uno.,[],[],0.0
d_508,Tengo que consumir drogas para olvidar la realidad,['imperativos'],['imperativos'],100.0
t_370,Me felicitaron todos excepto mi amigo; el pobre no tuvo tiempo en todo el día,[],[],0.0
a_1077,"Si mantengo la calma no tiene porque llegar a ser tan tremendo. De todos modos si considero que tengo razón, puedo defender mis derechos y opiniones",[],[],0.0
d_494,"Tengo que tenerlo todo bajo control, sinó es imposible que salga bien",['imperativos'],['pensamiento absolutista'],0.0
d_364,"Aunque no lo diga, mi entrenador piensa que no valgo para el deporte.",['leer la mente'],['leer la mente'],100.0
d_387,"Aunque mi pareja no me lo diga, piensa que soy una persona aburrida",['leer la mente'],['leer la mente'],100.0
t_221,Todo está oscuro a las 3 de la madrugada,[],[],0.0
a_1000,"Si no apruebo el examen de la próxima semana, tendré que estudiar más para la recuperación",[],[],0.0
a_617,"Algunas cosas me resultan difíciles, pero otras me resultan más fáciles",[],[],0.0
a_784,La forma de vestir es un gusto personal. No todos seguimos las misma moda al vestirnos y esto está bien así. ç,[],[],0.0
d_490,tengo que pensar en positivo,['imperativos'],['imperativos'],100.0
t_242,"Ayer solo cogí tres tenedores del cajón, los demás deberían seguir ahí",[],[],0.0
a_1356,"Me es desagradable la sensación de no tenerlo todo bajo control, pero no tiene porqué pasar nada malo",[],[],0.0
d_382,Mi peluquero piensa que no tengo arreglo,['leer la mente'],['leer la mente'],100.0
a_398,No puedo saber lo que piensa basándome en lo que me ha escrito. Mejor le pregunto.,[],[],0.0
a_1414,Si la camarera me ha mirado mal no tengo manera de saber lo que piensa,[],[],0.0
t_468,Me olvidé de comprar las entradas y no hemos podido ir al concierto,[],[],0.0
t_475,El otro dia el jefe me comentó que estaba muy contento conmigo,[],[],0.0
d_646,soy una ignorante,['etiquetado'],['etiquetado'],100.0
d_1258,"Mi hermana siempre confia en mi pero hoy lo ha pasado mal y ha llamado a su amiga, soy una mala hermana. ","['abstracción selectiva', 'etiquetado']","['etiquetado', 'abstracción selectiva']",100.0
t_337,Me espera un momento complicado,[],['adivinación'],0.0
a_1055,"mejor no anticipar tanto, luego muchas veces no es como había predicho",[],[],0.0
a_621,"A veces me equivoco, en otras ocasiones acierto con lo que hago.",[],[],0.0
d_1459,"Mi perro le ha mordido a otro en el parque, es culpa mía por no educarlo bién","['personalización', 'abstracción selectiva']",['personalización'],50.0
a_270,Fallar a veces no implica tener que fallar siempre,[],[],0.0
d_846,Si no apruebo las opocisiones mi vida no valdrà para nada,"['pensamiento absolutista', 'catastrofismo']",['pensamiento absolutista'],50.0
d_1100,"tengo un viaje en avion mañana, seguro que me anulan el vuelo y no puedo visitar a mi familia.",['catastrofismo'],['adivinación'],0.0
a_1302,"No tengo porqué pensar que alguien me ha fallado, solo por sentirme enfadada. Debería intentar pensar de donde ha salido el enfado",[],[],0.0
a_1310,si me siento triste cuando estoy con mis amigos lo mejor será hablarlo con ellos y ver si algo ha cambiado. No tiene por que ser que ya no me quieran.,[],[],0.0
a_812,Que no me llame puede deberse a diversos motivos que no tienen que ver con que me quiera,[],[],0.0
a_907,la mejor forma de disfrutar el momento presente es no anticipar que pasará ,[],[],0.0
a_618,"Algunas personas hacen actos que no son buenos, pero no todo el mundo es igual",[],[],0.0
a_938,si voy con tiempo es menos probable que pierda el bus,[],[],0.0
a_790,"A veces puede que no llegue a cumplir las tareas comprometidas, las otras personas pueden entenderlo.",[],[],0.0
a_1416,Que le haya gustado mi falda a mi amiga no quiere decir que me tenga envidia,[],[],0.0
d_509,Tendría que relacionarme más con la gente,['imperativos'],[],0.0
d_1239,"Después de todo un mes yendo al gimnasio, esta semana es la primera vez que falto. Así nunca estaré en forma ",['abstracción selectiva'],['abstracción selectiva'],100.0
d_211,mis padres siempre me han ignorado,['sobregeneralización'],['sobregeneralización'],100.0
a_1251,"No ganar la final no nos convierte en un mal equipo. De hecho, llegar hasta ella demuestra que hemos competido bien. ",[],[],0.0
a_664,"No todo se me da bien, pero algunas cosas sí",[],[],0.0
a_353,"Algo me hace pensar que mi padre crre que soy un inutil, mejor le pregunto y salgo de dudas",[],[],0.0
a_243,Soy muy exigente conmigo mismo y me cuesta valorar lo que hago bien,[],[],0.0
a_1108,Es posible que algunas cosas salgan mal pero no todas,[],[],0.0
d_733,"Soy demasiado antipatico, así como voy a tener amigos",['etiquetado'],['etiquetado'],100.0
d_1352,"Siento que por mucho que me esfuerze nunca lograré resultados, así que debería parar de intentarlo","['razonamiento emocional', 'imperativos']","['razonamiento emocional', 'adivinación']",50.0
a_1167,"Es cierto que mi suegro no se ha reído, pero también es cierto que la mayoría se divirtieron. ",[],[],0.0
a_610,Algunas veces mi hermana solo piensa en ella ,[],[],0.0
d_608,"Soy fea, nadie va a acercarse a mí",['etiquetado'],"['adivinación', 'etiquetado']",100.0
d_383,"Por como me mira el policía, seguro que piensa que soy un delincuente",['leer la mente'],['leer la mente'],100.0
a_471,"Tengo la sensación, aunque no lo sé seguro, que mis vecinos me ven como un mal presidente.",[],[],0.0
a_580,"Aunque a veces siento que estando cerca de los demás les hago daño, es posible que esté pasando por alto las cosas buenas que les aporto",[],[],0.0
a_724,En ocasiones mi compañero habla mucho y esto me molesta,[],[],0.0
a_1489,Aunque hubiese rezado más no hubiera evitado que mi madre acabara en el hospital,[],[],0.0
a_283,A veces el dolor mejora,[],[],0.0
a_885,"cada cambio es una oportunidad, incluso fallar puede ser una oportunidad",[],[],0.0
d_1434,"Mi padre se ha enfadado con mi hermana, seguro que algo tiene que ver conmigo",['personalización'],['personalización'],100.0
t_461,"No me merezco el premio, había gente mejor que yo",[],['etiquetado'],0.0
t_453,"me gusta mucho este chico, porque somos muy compatibles",[],[],0.0
a_1110,"Puede que la entrevista no haya ido com esperaba, pero no sé que es lo que va a pasar",[],[],0.0
a_553,Es importante que cuide de mis hijos y a la vez es bueno dejar que exploren algunas cosas por su cuenta,[],[],0.0
d_658,no soy una persona agraciada,['etiquetado'],[],0.0
a_1377,"Esta película me ha emocionado, pero como reacciono a una sola película no determina como soy. ",[],[],0.0
d_794,Si me equivoco no seré la mejor,['pensamiento absolutista'],['pensamiento absolutista'],100.0
a_1401,Si el proyecto no ha salido bien no ha sido solo por mi culpa,[],[],0.0
d_675,mi marido es un desalmado,['etiquetado'],['etiquetado'],100.0
d_550,Mi familia no debe meterse en mis asuntos,['imperativos'],['imperativos'],100.0
a_966,"Aunque haya invertido menos tiempo del que pensaba, si el trabajo está bien le va a gustar a mi jefe.",[],[],0.0
a_848,Es importante que me dedique tiempo a mi misma para estar mejor.,[],[],0.0
a_493,Me gustaria que mi pareja se implicara más en los planes conjuntos.,[],[],0.0
d_1427,"Un chico me mira raro en el trabajo, seguro que está criticando mi cuerpo. ","['personalización', 'leer la mente']",['leer la mente'],50.0
d_867,O encuentro un buen regalo o me dirá que no soy buena amiga,['pensamiento absolutista'],['pensamiento absolutista'],100.0
a_567,"No me siento cómoda yendo sola por la calle, aunque puede que sea más una sensación que un peligro real",[],[],0.0
d_1383,"Mi madre lleva tiempo muy triste. Creo que le va a pasar algo malo,","['razonamiento emocional', 'adivinación']",['razonamiento emocional'],50.0
a_1028,"voy a intentarlo, lo haré con ganas",[],[],0.0
a_746,Mi valor como persona no depende de si tengo pareja ,[],[],0.0
a_894,"no siempre me he sentido un fracasado, así que es posible que en un futuro no me sienta así ",[],[],0.0
a_404,No estoy seguro de si mis compañeros quieren saber algo de mí o no.,[],[],0.0
d_611,Soy el peor jugador del mundo,['etiquetado'],['catastrofismo'],0.0
t_359,Soy un buen cocinero porque  no suelo pasarme con la sal ,[],[],0.0
d_405,Sé que todos mis profesores piensan mal de mí.,"['leer la mente', 'sobregeneralización']","['leer la mente', 'sobregeneralización']",100.0
a_1094,"Puede que cometa algunos errores en la presentación, pero igual que les puede passar a todos",[],[],0.0
a_985,"Puede que al salir a la calle me de un ataque de ansiedad, pero en muchas ocasiones he salido y no ha pasado nada.",[],[],0.0
d_450,"Seguro que piensan que estoy en los huesos, lo noto en como me miran.",['leer la mente'],['leer la mente'],100.0
d_547,Mis padres tienen que darme dinero,['imperativos'],['imperativos'],100.0
a_659,En mi familia a veces nos enfadamos por cosas poco importantes,[],[],0.0
d_831,Si le digo a mi compañero lo que realmente pienso no querrá ser mi amigo,['pensamiento absolutista'],['adivinación'],0.0
a_416,Puede que mi presencia le incomode. Le preguntaré a ver.,[],[],0.0
a_295,A veces no me siento valorado por mi jefe,[],[],0.0
a_601,"Me gustaria tener más paciencia con mi hijo, para entenderle mejor",[],[],0.0
d_871,he decidido no hacerlo porque sé que fallaré,['adivinación'],['adivinación'],100.0
t_245,Debo tomar mis medicamentos cada 8 horas,[],[],0.0
d_593,Tengo que gustar a todos,['imperativos'],['imperativos'],100.0
t_450,Si siento que soy un desastre será que me ha salido algo mal,[],['razonamiento emocional'],0.0
t_421,"Lo siento, te quiero como amiga.",[],[],0.0
d_323,A nadie le importan mis problemas,['sobregeneralización'],['sobregeneralización'],100.0
d_1013,esto es insufrible,['catastrofismo'],['catastrofismo'],100.0
d_1385,"Si no me transmite confianza de primeras, ya no podremos ser amigos",['razonamiento emocional'],['pensamiento absolutista'],0.0
d_1470,"Las preguntas del examen han sido muy difíciles y he suspendido, es mi culpa por no haber estudiado más",['personalización'],['personalización'],100.0
a_367,"Creo que mis amigos quieren verme fracasar, pero no lo sé seguro, pues no tengo pruebas.",[],[],0.0
d_283,Siempre tengo dolor,['sobregeneralización'],['sobregeneralización'],100.0
d_614,Soy un perdedor,['etiquetado'],['etiquetado'],100.0
a_728,Me gustaria mejorar y ser más persistente en mis propositos.,[],[],0.0
a_1289,"Este chico me atrae, pero eso no implica que estemos hechos el uno para el otro. Tendré que conocerlo antes para saberlo.",[],[],0.0
a_218,"Algunas personas me dejan de lado, pero tengo a otras que me quieren y apoyan",[],[],0.0
t_411,He quedado con mi amigo para hacer un debate de política. ,[],[],0.0
d_852,Si no encuentro empleo en 1 mes ya nunca conseguiré uno,['pensamiento absolutista'],"['pensamiento absolutista', 'adivinación']",100.0
t_446,"¿Como no va a ser injusto, si lo he hecho yo mejor y ha ganado ella?",[],['razonamiento emocional'],0.0
a_760,Incluso las personas más sabias no lo saben todo. ,[],[],0.0
a_683,A veces tengo la impresión que puedo ser insistente si el tema me preocupa,[],[],0.0
d_1241,El viaje habría sido un éxito si todos los días hubiesen sido soleados. Solo llovió un día pero me fastidió el viaje,['abstracción selectiva'],['pensamiento absolutista'],0.0
a_738,Puedo mirar las cosas que si he conseguido y seguir luchando para poder comprarme una casa,[],[],0.0
d_1272,"Si no estoy contenta estudiando, es porque he escogido mal la carrera",['razonamiento emocional'],['razonamiento emocional'],100.0
d_1342,"No siento que nadie reconozca lo que hago en esta casa, no me quieren","['razonamiento emocional', 'leer la mente']","['abstracción selectiva', 'razonamiento emocional']",50.0
d_618,las personas no son buenas,['etiquetado'],['sobregeneralización'],0.0
a_954,"no hace falta hacer el trabajo perfecto, si me esfuerzo quizás lo consigo",[],[],0.0
t_394,Seguro que el examen será dentro de una semana. ,[],[],0.0
a_919,"en el período de prueba no tengo por qué hacerlo perfecto, es una oportunidad para aprender y hacerlo cada día mejor",[],[],0.0
a_203,Algunas veces no me sale bien lo que hago,[],[],0.0
a_216,Algunas veces no me tienen en cuenta en el trabajo y esto me hace sentir mal,[],[],0.0
d_766,Si no me esfuerzo en todo lo que hago no conseguiré lo que me propongo,['pensamiento absolutista'],['pensamiento absolutista'],100.0
d_1139,"La profesora me felicitó por mi examen, pero dijo que tenía que mejorar la caligrafía y esto me frustró bastante. ",['abstracción selectiva'],[],0.0
d_1440,"Maria se ha sentado en mi sitio en clase, seguro que lo hace para molestarme.",['personalización'],['leer la mente'],0.0
d_1078,"se ha roto el ordenador, es terrible, será una ruina",['catastrofismo'],['catastrofismo'],100.0
d_513,Tengo que tener hijos antes de que se me pase la edad,['imperativos'],['imperativos'],100.0
a_1060,"no lo he pasado bien en ese momento, pero aquí estoy, lo he podido tolerar",[],[],0.0
d_1519,"Mi perro se ha escapado por la ventana, soy un autentico desastre, debí haberla cerrado","['personalización', 'etiquetado']",['etiquetado'],50.0
a_1274,"Es probable que al no sentirme querida como amiga, esté malinterpretando el porqué quedan conmigo. Podría intentar entender mejor porqué me siento así",[],[],0.0
d_644,no soy una persona afortunada,['etiquetado'],['etiquetado'],100.0
a_1366,"Aunque sienta que algo puede salir mal, a veces es bueno hacerlo igualmente, si es importante para mí. A pesar de haber riesgo, el beneficio puede ser más grande",[],[],0.0
d_586,Debería recibir más atención y cariño de los demás,['imperativos'],['imperativos'],100.0
d_280,"Si suspendo una vez, suspenderé siempre ",['sobregeneralización'],"['pensamiento absolutista', 'sobregeneralización']",100.0
t_332,"Como madre, me preocupo mucho por la seguridad de mi familia. Sufriría mucho si les pasase algo",[],['adivinación'],0.0
a_229,A veces tengo la sensación de que pasan de mi,[],[],0.0
d_394,"Nunca me lo han dicho, pero sé que la gente no me soporta.",['leer la mente'],['leer la mente'],100.0
d_1408,"No consigo entender el libro, debería haber estudidado antes.","['personalización', 'imperativos']",[],0.0
d_1266,"No me siento comprendida por mi pareja, eso significa que no es buena para mí",['razonamiento emocional'],['razonamiento emocional'],100.0
a_523,"Lo importante es que todos hagamos bien el trabajo, independientemente de quien sea el mejor",[],[],0.0
a_1454,no tengo ninguna prueba de que se reían de mi,[],[],0.0
a_308,Que haya gente egoista no quiere decir que todo el mundo lo sea,[],[],0.0
d_544,Los demás tienen que aceptarme como soy,['imperativos'],['imperativos'],100.0
a_1461,Que se me haya caído un plato no me convierte en un desastre,[],[],0.0
d_857,O les contesto los WhatsApp al momento o no van a volver a hablar conmigo,['pensamiento absolutista'],['pensamiento absolutista'],100.0
a_1341,"Nada me pone contenta últimamente, estoy pasando una mala época, pero eso no significa que tenga depresión",[],['sobregeneralización'],0.0
d_707,soy pésimo en todo lo que hago,['etiquetado'],['etiquetado'],100.0
a_413,"Quizás piensan que digo estupideces, pero puede que no lo piensen; no estoy seguro.",[],[],0.0
a_1004,"Mi hijo me está dando algún disgusto, pero es cosa de la edad, no es para tanto",[],[],0.0
a_1215,¿Que pruebas tengo de que el hecho de no darme un beso al despedirse signifique que no me quiera?,[],[],0.0
a_1141,Perder el bolígrafo no me convierte en un ser desastroso,[],[],0.0
a_921,decir cómo me siento es una posibilidad para sentirme mejor,[],[],0.0
d_1093,"No estan contentos conmigo, me van a ehchar del trabajo seguro, será horrible",['catastrofismo'],"['adivinación', 'catastrofismo']",100.0
d_549,Mi familia no tiene que opinar sobre mí,['imperativos'],['imperativos'],100.0
d_270,"No lo he conseguido, siempre fallaré ",['sobregeneralización'],['adivinación'],0.0
d_1034,Será terrible,['catastrofismo'],"['adivinación', 'catastrofismo']",100.0
d_683,soy pesado,['etiquetado'],['etiquetado'],100.0
d_1254,"Se me ha estropeado la lavadora, soy un desgraciado ","['abstracción selectiva', 'etiquetado']","['abstracción selectiva', 'personalización']",50.0
d_1423,"Marta se ha puesto muy guapa hoy, seguro que es para darme envidia.",['personalización'],['leer la mente'],0.0
d_417,Estoy seguro de que mi familia quiere que me vaya de casa.,['leer la mente'],['leer la mente'],100.0
a_874,"podría conocer gente otra vez si me lo propongo, ya lo hice en el pasado",[],[],0.0
a_1254,"Me molesta que la lavadora se haya estropeado, pero eso no me convierte en un desgraciado,",[],[],0.0
d_1457,"Cuando la tutora ha comentado que alguien se había quejado de un residente, inmediatamente he pensado que era yo",['personalización'],['personalización'],100.0
a_399,"No estoy seguro pero, creo que mi pareja no me ve tan atractivo como antes.",[],[],0.0
a_649,Mi amiga es muy insistente con cosas que le interesan,[],[],0.0
a_1033,La entrevista ha ido peor de lo que esteraba,[],[],0.0
a_293,Me puedo sentir mal a veces,[],[],0.0
d_602,No debo cometer errores si quiero que la gente se quede a mi lado,['imperativos'],['imperativos'],100.0
d_212,es que siempre tengo problemas con mi hermano,['sobregeneralización'],['sobregeneralización'],100.0
d_587,Tengo que ser más amable y hablar más con la gente,['imperativos'],['imperativos'],100.0
a_325,Si no lo intento no sabré si puedo lograrlo,[],[],0.0
a_1201,"Aunque no lleve un traje nuevo, es posible que pueda disfrutar de la fiesta por otros motivos",[],[],0.0
a_915,si estudio es probable que lo haga mejor que si no estudio,[],[],0.0
a_1453,No tengo motivos para creer que solo ha sido culpa mia,[],[],0.0
d_1506,"Cuando cuento mis sentimientos no me contestan, soy un pesado",['personalización'],['etiquetado'],0.0
a_1304,"Siento verguenza y esto me hace pensar que me saldrá mal, pero no tiene porqué ser así, a pesar de mi verguenza hago cosas bien",[],[],0.0
a_1301,Si no me siento guapo me puede costar más percibir que le gusto a alguien,[],[],0.0
a_1391,"Yo estoy muy cansada, me he cansado hoy en el trabajo y por otros motivos. Como yo me sienta no define a mi jefe.",[],[],0.0
d_251,Nunca dejaré de estar triste,['sobregeneralización'],"['sobregeneralización', 'adivinación']",100.0
d_729,Éste señor es despreciable,['etiquetado'],['etiquetado'],100.0
d_350,Estoy seguro de que la gente piensa que no valgo para nada,['leer la mente'],['leer la mente'],100.0
d_957,estoy convencida de que el médico me dará malas noticias,['adivinación'],['adivinación'],100.0
d_702,mi jefe es una persona fría,['etiquetado'],['etiquetado'],100.0
a_1300,"Si mi padre no empieza a estar más contento, valorará las cosas que le sucedan de manera más negativa",[],[],0.0
