Nº,Texto con distorsión cognitiva,Tipo de distorsión,,,,,Texto libre,Pensamiento alternativo,Construcciones tricky,,Distorsión: Texto Largo (>=3 frases),Distorsión secundaria opcional,Pensamiento alternativo
13,siempre tengo problemas,Sobregeneralización,,,,,,"A menudo tengo probelmas, todos tenemos problemas a veces",Nunca tomo el sol sin protección ,,"Intento tener una buena relación con mi hermano, pero siempre acabamos igual, siempre tenemos problemas, ya no vale la pena que siga luchando por esta relación.",,"He tenido problemas con mi hermano en el pasado, pero eso no implica que siempre los vayamos a tener, podemos mejorar la relación."
14,jamás tendré fuerzas para conseguir lo que quiero,Sobregeneralización,Adivinación,Catastrofismo,,,Dudo mucho si es catastrofismo y adivinación a la vez,"Me cuesta sacar fuerzas para conseguir lo que quiero, pero tengo claro que necesito hacerlo. ",Siempre me ha gustado bailar,,"Haga lo que haga siento que nunca hago suficiente, me siento un inútil y aunque intento hacer las cosas lo mejor que pueda y doy siempre el máximo, nunca lo hago suficientemente bien. ",,"No tengo que exigirme siempre tanto, hacer las cosas lo mejor que uno puede es suficiente."
15,constantemente estoy haciendo las cosas mal,Sobregeneralización,,,,,,"Algunas veces me equivoco, esto no quier decir que lo haga todo mal",Cada día como pan,,"Le he contado mis problemas a mis amigos, me han animado pero han cambiado rápido de tema, eso quiere decir que no les importo, nunca me escuchan.",,"Que mis amigos hayan cambiado de tema, eso no quiere decir que nunca me escuchen o que no les importe. "
16,nunca podré hacer mi tarea,Sobregeneralización,Adivinación,,,,,"Me cuesta hacer mi tarea, tendré que centrarme en ella",No me gusta nada la col,,"El otro día cocinando se me quemó la tortilla, siempre me sale todo mal. Soy un desastre, nunca voy a hacer nada bien.",,Que un día se me haya quemado la tortilla no puedo generalizar a que nunca hago nada bien. 
17,casi nunca estoy bien,Sobregeneralización,,,,,,A veces no estoy bien,nunca me he sentido solo cuando he necesitado ayuda,,Cuando iba en tren el otro día un hombre que parecía muy simpático me atracó y me robó el bolso. Nunca te puedes fiar de nadie por mucho que te lo parezca.,,"Que te hayas encontrado con una situación complicada, no quiere decir que no te puedas fiar nunca de nadie."
18,nadie me tiene en cuenta,Sobregeneralización,,,,,,"Me cuesta sentirme querida, esto no siginifca que nadie me quiera",Nada con mucho estilo,,"De pequeño mi madre me enseñó que llorar es de débiles. Si algún día muestro mis sentimientos y me pongo a llorar sería horrible, nunca puedes mostrar debilidad.",,"Mostrar los sentimientos no te hace débil, sino humano."
19,todo lo hago mal,Sobregeneralización,,,,,,A veces me equivoco pero esto no significa que siempre me salgan las cosas mal,Siempre pasan cosas,,"Hace una semana que no consigo dormir bien aunque lo he intentado por múltiples medios. Como no lo he coseguido, eso quiere decir que nunca seré capaz de volver a conciliar bien el sueño. ",,Que no haya dormido bien en una semana no quiere decir que nunca vaya a ser capaz de dormir bien.
20,siempre me ignora,Sobregeneralización,,,,,,Mi hermano a veces me ignora,Todos podemos sentirnos mal,,"He estado con mis amigos esta tarde en un bar, me he esforzado en ir para pasarlo bien, pero como siempre todo ha acabado mal. Ellos intentan disimular pero no saben como tratarme, me provocan contiunamente y al final terminamos discutiendo como todos los días. ",,"Que hoy no haya ido como esperabas no significa que siempre vaya a ir mal. SI hay algunas cosas que te molestaan de tus amigos igual podrias tratar de decirselo de manera asertiva, puede ser que ellos no sean conscientes de lo que te hace sentir mal."
21,mi pareja siempre hace lo mismo,Sobregeneralización,,,,,,Mi pareja a veces hace cosas que no me gustan,Las cosas nunca salen iguales,,"Estoy bastante cansada, mi pareja no piensa en mi, nunca hace nada para ayudarme ni para que me lo pase bien. Necessito que haga algo por mi o al final voy a pensar que no le importo. ",,"Aunque ahora piense que mi apreja no está haciendo nada por mi, si hay momentos en que me siento apoyada y acompañada por él."
22,no me encuentro bien nunca,Sobregeneralización,,,,,,Hay pocas veces en las que me encuentro bien,Todos nos podemos equivocar,,"Estoy tant triste que no puedo ni levantarme de la cama, creo que haga lo que haga nada tiene ya sentido. No vale la pena esforzarse para que las cosas vayan mejor si luego todo acaba salinedo siempre mal. Al final me quedo igual de mal o peor. ",,"A veces las cosas no salen como queremos y esto nos hace sentir mal, pero esto no siginfica que siempre sea así. Hay algunas cosas pequeñas del día a día que estan bien y a veces no las vemos."
23,jamás me sale bien lo que hago,Sobregeneralización,,,,,,Algunas veces no me sale bien lo que hago,Siempre como verdura,,"Estoy harta, siempre que hacemos regalos con mis amigos me tengo que encargar yo de todo y luego nunca me lo valora. Ésta será la última vez que me implico en algo del grupo si no veo que los demás lo hacen, porque total solo consigo sentirme mal y agobiada.",,"Que en esta ocasion no me hayan ayudado no quiere decir que nunca se impliquen en lo que hacemos. Estaria bien poder hablar con mis amigos de lo sucedido y explicarle como me siento, para que así ellos puedan saber que me he sentido sola haciendo lo del regalo."
24,todo está mal a mi alrededor,Sobregeneralización,,,,,,Hay cosas que me gustaria cambiar a mi alrededor para ver que las cosas estan bien,Nunca me ha gustado el chocolate,,"Mis padres nunca valoran las cosas y esfuerzos que hago, siempre que me quejo de algo me responden que ellos a mi edad hacían lo mismo o más y que ahora que soy joven puedo hacerlo todo. No entienden que así siempre me hacen sentir mal, tengo derecho a quejarme.",,"Aunque la mayoria de las veces mis padres les cueste darse cuenta de los esfuerzos que hago, en algunas ocasiones si que son conscientes y lo valora. "
25,mi familia está constantemente dejándome a un lado es que siempre es igual,Sobregeneralización,,,,,,Mi familia a veces no me tiene en cuenta,"Siempre habrá cosas pendientes de hacer, tomamos nota y las hacemos mañana",,,,
26,siento que mis compañeros siempre están pensando mal de mí,Sobregeneralización,,,,,,"A veces mis compañeros hablan mal de mi, pero otras veces se que dicen cosas buenas",Nadie puede hacerlo siempre todo bien,,,,
27,Mi pareja nunca quiere hacer nada por mí,Sobregeneralización,,,,,,"me gustaria que mi pareja hiciese más cosas por mi, tnego la percepcion que hace pocas",Nadie tiene toda la verdad,,,,
28,siempre me encuentro mal,Sobregeneralización,,,,,,A menudo me encuentro mal,He comprado todo lo de la lista,,,,
29,siempre hacemos lo mismo,Sobregeneralización,,,,,,Estoy desmotivada porque acostumbramos a hacer lo mismo y  me gustaria probar otras cosas,Nunca he visitado Africa,,,,
30,la gente siempre piensa mal de mí,Sobregeneralización,,,,,,Algunas personas me odian,No entiendo como nadie se ha dado cuenta,,,,
31,mis padres siempre me han ignorado,Sobregeneralización,,,,,,Mis padres no me prestan la atencion que me gustaria,Siempre voy al trabajo en tren,,,,
32,es que siempre tengo problemas con mi hermano,Sobregeneralización,,,,,,"A menudo me discuto con mi hermano, estaria bien poder hablarlo y encontrar una forma de entendernos",Siempre que puedo visito a mi abuela,,,,
33,todo lo que hago siempre lo hago mal,Sobregeneralización,,,,,,Algunas cosas me salen mal pero otras las puedo hacer bien,Nadie lo hace todo bien,,,,
34,haga lo que haga siento constantemente que nunca soy lo suficiente,Sobregeneralización,Etiquetado,,,,,me cuesta sentir que he hecho suficiente y necesito hacer más para sentirme bien,Jamas he intentado hablar chino,,,,
35,no me sale nada bien nunca,Sobregeneralización,,,,,,A veces me salen cosas mal,Intento hacer todo lo que puedo,,,,
36,en mi trabajo nunca me tienen en cuenta,Sobregeneralización,,,,,,Algunas veces no me tienen en cuenta en el trabajo y esto me hace sentir mal,Siempre que llamo a mi primo me coge el teléfono ,,,,
37,"sé que no le caigo bien a nadie, nadie me quiere",Sobregeneralización,Leer la mente,,,,,"A veces no le caigo bien a algunas personas, no le puedo caer bien a todo el mundo",Nunca llevo dinero en efectivo,,,,
38,todos hacen lo mismo me dejan a un lado ,Sobregeneralización,,,,,,"Algunas personas me dejan de lado, pero tengo a otras que me quieren y apoyan",Todos están contentos hoy,,,,
39,he vuelto a suspender es que siempre fracaso,Sobregeneralización,,,,,,"Suspender algunas veces no te hace un fracasado, igual me iria bien buscar ayuda para estudiar",Jamas he visto una peli de terror,,,,
40,he tenido problemas en el trabajo nunca voy a encontrar nada ,Sobregeneralización,,,,,,"Puede que haya tenido problemas hoy, pero esto no significa que nunca vaya a encontrar otro trabajo",Siempre me siento mal después de comer dulce,,,,
41,a todo el mundo le doy igual nadie quiere estar conmigo,Sobregeneralización,,,,,,"No le puedo importar a todo el mundo, lo realmente importante es poder estar con las personas que me quieren",Todo está oscuro a las 3 de la madrugada,,,,
42,todo el mundo me odia,Sobregeneralización,,,,,,me parece que no caigo bien a la mayoria de gente puedo hacer algo para emjorar mis habilidades sociales,Cuando conozco a alguien jamas me voy a su casa el primer día,,,,
43,a nadie le importo,Sobregeneralización,,,,,,"Hay gente a la que no le importo, tambien hay muchas personas que si que se preocupan por mi",Siempre me ha gustado hacer snow,,,,
44,siento que no me escucha nadie,Sobregeneralización,,,,,,"A veces me gustaria que las personas estubieran más atentas a lo que digo, puedo decirles que para mi es importante que me escuchen",No hay nada peor que quedarse dormido en una reuión de trabajo,,,,
45,"Se me ha quemado la comida, nunca sabré hacer nada correctamente",Sobregeneralización,Adivinación,Abstracción selectiva,,,,"Hoy se me ha quemado la comida porque me he despistado, mañana estaré más atento",Mi amigo siempre piensa antes de hablar,,,,
46,Por más que haga nunca saldré del pozo,Sobregeneralización,,,,,,"A veces es dificil ver el final de las cosas malas, pero con esfuerzo las cosasa van mejorando",,,,,
47,Nunca voy a superar esto,Sobregeneralización,,,,,,"Ha sido un duro golpe, pero con algunas herramientas y ayuda puedo volver a estar bien",,,,,
48,No se puede confiar en nadie,Sobregeneralización,,,,,,Para depende que cosas no se puede confiar en todo el mundo,,,,,
49,Nadie quiere saber nada de mi,Sobregeneralización,,,,,,A veces tengo la sensación de que pasan de mi,,,,,
50,Nadie me comprende,Sobregeneralización,,,,,,"Siempre habrá momentos en que la gente no me comprenda, pero en muchos otros si me entienden",,,,,
51,Siempre seré un fracasado ,Sobregeneralización,,,,,,"Siempre habrá algo que a uno se le de bien, fallar a veces no te hace un fracasado",,,,,
52,Nunca hago suficiente,Sobregeneralización,,,,,,A veces tendría que hacer más ,,,,,
53,Nunca soy suficientemente bueno ,Sobregeneralización,,,,,,A veces hago las cosas mal,,,,,
54,Nunca seré un buen padre,Sobregeneralización,,,,,,No tengo pruebas que demuestren que nunca podré ser buen padre,,,,,
55,Nunca voy a poder dormir ,Sobregeneralización,,,,,,Hay días que me cuesta dormir,,,,,
56,Todo me supera siempre,Sobregeneralización,,,,,,Hay días en que me afectan más las cosas,,,,,
57,Jamás voy a mejorar,Sobregeneralización,,,,,,"Aunque ahora no lo crea, voy a poder mejorar",,,,,
58,Nunca voy a poder cambiar,Sobregeneralización,,,,,,"Si me esfuerzo, tengo opciones de cambiar",,,,,
59,Todo el mundo me ignora,Sobregeneralización,,,,,,"Aunque haya gente que me ignore, no quiere decir que todo el mundo lo haga",,,,,
60,Nadie me comprende,Sobregeneralización,,,,,,"Me cuesta sentirme comprendida, eso no implica que nadie me entienda",,,,,
61,Mis amigos siempre me tratan mal,Sobregeneralización,,,,,,"Puede ser que algún día mis amigos no se hayan portado bien, aunque eso no pasa siempre",,,,,
62,Nunca llegaré a ser bueno en nada ,Sobregeneralización,,,,,,Fallar en algunas cosas no implica generalizarlo a todos los ámbitos,,,,,
63,Nada se me da suficientemente bien ,Sobregeneralización,,,,,,No tengo que hacerlo todo bien,,,,,
64,Nunca conseguiré un buen trabajo,Sobregeneralización,,,,,,"Si lo intento, tengo opciones de conseguir un buen trabajo",,,,,
65,Siempre estaré así de mal,Sobregeneralización,,,,,,"En la vida nada es estable, el cambio forma parte del proceso",,,,,
66,"Soy un fracasado, siempre lo seré ",Sobregeneralización,,,,,,Fracasar en ciertas ocasiones no te convierte en un fracasado,,,,,
67,Me tienen que querer siempre ,Sobregeneralización,,,,,,Habrá gente que me va a querer y otra que no,,,,,
68,Aunque lo intente siempre fracasaré,Sobregeneralización,,,,,,Haber fracasado anteriormente no implica tener que hacerlo en un futuro,,,,,
69,Nunca seré feliz,Sobregeneralización,,,,,,"Aunque ahora este triste, puedo mejorar y llegar a ser feliz",,,,,
70,Siempre tendré esta ansiedad,Sobregeneralización,,,,,,"La ansiedad no es algo estable, puede dejar de estar",,,,,
71,Nunca dejaré de estar triste,Sobregeneralización,,,,,,"La tristeza no es estable, puede dejar de estar",,,,,
72,Siempre le tengo que caer bien a los demás ,Sobregeneralización,,,,,,No tengo que caerle bien a todo el mundo,,,,,
73,El mundo siempre es peligroso,Sobregeneralización,,,,,,Pueden haber peligros y eso no convierte el mundo en peligroso,,,,,
74,Nadie me valora,Sobregeneralización,,,,,,"Aunque sienta que hay gente que no me valora, seguro que hay alguien que si",,,,,
75,Nunca aprobaré el examen ,Sobregeneralización,,,,,,Si estudio suficiente seguramente aprobaré el examen,,,,,
76,Nunca seré capaz de sacarme una carrera,Sobregeneralización,,,,,,"Si estudio suficiente, seguramente sea capaz de sacarme una carrera",,,,,
77,Nunca tendré un buen día ,Sobregeneralización,,,,,,Haber tenido un mal día no convierte en todos los días malos,,,,,
78,No podré confiar en nadie nunca,Sobregeneralización,,,,,,Puedo encontrar a alguien en quien poder confiar,,,,,
79,Siempre hay que desconfiar de los demás ,Sobregeneralización,,,,,,"Aunque haya tenido malas experiencias, no hay que desconfiar de todo el mundo",,,,,
80,Nunca conseguiré lo que me propongo,Sobregeneralización,,,,,,Si me esfuerzo puedo conseguir muchas cosas,,,,,
81,Aunque lo intento siempre fracaso,Sobregeneralización,,,,,,Fracasar a veces no implica fracasar siempre,,,,,
82,La gente siempre pasa de mí ,Sobregeneralización,,,,,,"Puede haber gente que no me haga caso a veces, no siempre",,,,,
83,Nadie me entiende,Sobregeneralización,,,,,,Me puedo sentir incomprendido a veces,,,,,
84,Jamás tendré éxito en la vida ,Sobregeneralización,,,,,,"Aunque ahora no lo vea, puedo tener éxito",,,,,
85,Me harán daño siempre ,Sobregeneralización,,,,,,Que me hayan hecho daño no implica que siempre sea así,,,,,
86,Nunca puedes confiar en nadie,Sobregeneralización,,,,,,Hay gente en la que puedo confiar,,,,,
87,Todo el mundo es egoista,Sobregeneralización,,,,,,"Hay gente egoísta, no todo el mundo lo es",,,,,
88,Nunca seré un buen marido,Sobregeneralización,,,,,,Haber cometido errores no me convierte en un mal marido,,,,,
89,Nunca seré una buena madre,Sobregeneralización,,,,,,Haber cometido errores no me convierte en una mala madre,,,,,
90,"No lo he conseguido, siempre fallaré ",Sobregeneralización,,,,,,Fallar a veces no implica tener que fallar siempre,,,,,
91,La ansiedad nunca se irá,Sobregeneralización,,,,,,"La ansiedad no es algo estable, puede dejar de estar",,,,,
92,"No he dormido en toda la noche, nunca podré dormir bien",Sobregeneralización,,,,,,"Hay noches en las que duermo mal, pero puedo mejorar",,,,,
93,Nunca puedo mostrar debilidad,Sobregeneralización,,,,,,Mostrar debilidades no es algo negativo,,,,,
94,Siempre tengo que hacer las cosas bien,Sobregeneralización,,,,,,"No hay que hacer las cosas bien siempre, fallar es humano",,,,,
95,Nunca podré aceptarme como soy,Sobregeneralización,,,,,,"Aunque no me gusten ciertas cosas de mi, puedo acpetarme",,,,,
96,Nadie puede cambiar nunca,Sobregeneralización,,,,,,Casi siempre hay opciones de poder hacer cambios,,,,,
97,La gente nunca cambia,Sobregeneralización,,,,,,Muchas veces la gente puede cambiar,,,,,
98,Nunca puedes ser débil ,Sobregeneralización,,,,,,Mostrar debilidades no es algo negativo,,,,,
99,Tienes que ser fuerte siempre,Sobregeneralización,,,,,,No tenemos que ser fuertes en todas las ocasiones,,,,,
100,"Si suspendo una vez, suspenderé siempre ",Sobregeneralización,,,,,,Suspender una vez no implica que volveré a suspender,,,,,
101,Los demás siempre son mejores que yo,Sobregeneralización,,,,,,Siempre habrá gente mejor y peor en determinadas cosas,,,,,
102,Siempre me saldrán las cosas mal,Sobregeneralización,,,,,,"Me puede salir algo mal, eso no implica que todo me salga mal",,,,,
103,Siempre tengo dolor,Sobregeneralización,,,,,,A veces el dolor mejora,,,,,
104,La vida siempre es un caos,Sobregeneralización,,,,,,Hay momentos de caos pero otros tranquilos,,,,,
105,Nunca disfruto de nada,Sobregeneralización,,,,,,Hay algunas cosas con las que puedo disfrutar,,,,,
106,Siempre soy incapaz de llevar a cabo lo que me propongo,Sobregeneralización,,,,,,"Aunque a veces me cuesta, puedo llevar a cabo las cosas que me propongo",,,,,
107,Nunca me sale nada bien,Sobregeneralización,,,,,,A veces me salen algunas cosas mal,,,,,
108,Siempre hay que tener las cosas bajo control,Sobregeneralización,,,,,,No puedo tener todo bajo control siempre,,,,,
109,Nadie me saluda por la calle,Sobregeneralización,,,,,,"Que alguien no me salude, no implica que nadie lo haga",,,,,
110,La gente siempre se olvida de mi,Sobregeneralización,,,,,,"Se pueden olvidar de mi en ocasiones, no siempre",,,,,
111,A nadie le caigo bien ,Sobregeneralización,,,,,,No le tengo que caer bien a todo el mundo,,,,,
112,Siempre me tratan con injusticia ,Sobregeneralización,,,,,,Puede haber algunas situaciones que considere injustas,,,,,
113,Siempre me siento mal,Sobregeneralización,,,,,,"Me puedo sentir mal a veces, no siempre",,,,,
114,Nadie me escucha,Sobregeneralización,,,,,,Puedo tener la percepción de que nadie me escucha aunque no sea siempre así,,,,,
115,Mi jefe nunca me valora,Sobregeneralización,,,,,,A veces no me siento valorado por mi jefe,,,,,
116,Mis parejas siempre me van a ser infieles,Sobregeneralización,,,,,,"Que me haya tenido parejas infieles, no implica que todas lo sean",,,,,
117,Mi familia siempre me trata mal,Sobregeneralización,,,,,,A veces me puedo sentir mal tratado por mi familia,,,,,
118,"Si he engordado un kilo, entonces engordaré cien ",Sobregeneralización,,,,,,Engordar un kilo no implica tener que seguir engordando,,,,,
119,Siempre hay que hacer las cosas bien,Sobregeneralización,,,,,,"No hay que hacer las cosas bien siempre, fallar es humano",,,,,
120,Siempre tienes que ser perfecto,Sobregeneralización,,,,,,La perfección no existe,,,,,
121,Mis padres nunca me escuchan,Sobregeneralización,,,,,,A veces puedo sentir que mis padres no me escuchan,,,,,
122,Nadie me apoya en lo que quiero,Sobregeneralización,,,,,,A veces me puedo sentir poco comprendido aunque me apoyen,,,,,
123,"Si algo va mal, siempre irá mal ",Sobregeneralización,,,,,,Que algo vaya mal a veces no implica que sea así siempre,,,,,
124,Jamás lo haré bien,Sobregeneralización,,,,,,Que ahora no vaya bien no quiere decir que no pueda ir bien,,,,,
125,Siempre cometeré el mismo error,Sobregeneralización,,,,,,Puedo haber cometido un error a veces y aprender de ello,,,,,
126,Todos los hombres son iguales,Sobregeneralización,,,,,,No hay ningún hombre igual a otro,,,,,
127,Todos los jefes son malos,Sobregeneralización,,,,,,No hay ningún jefe igual a otro,,,,,
128,La gente siempre me mira mal,Sobregeneralización,,,,,,"A veces puedo sentir que me miran mal, no es así siempre",,,,,
129,La gente siempre es egoísta ,Sobregeneralización,,,,,,Que haya gente egoista no quiere decir que todo el mundo lo sea,,,,,
130,Todos los perros atacan,Sobregeneralización,,,,,,Que haya perros que ataquen no quiere decir que todos lo hagan,,,,,
131,Nuna podré conseguir mi sueño,Sobregeneralización,,,,,,Si me esfuerzo tengo opciones de conseguir mi sueño,,,,,
132,Siempre voy a estar solo,Sobregeneralización,,,,,,Que esté solo ahora no quiere decir que vaya a estarlo siempre,,,,,
133,Nuna tendré amigos,Sobregeneralización,,,,,,Que ahora no tenga amigos no implica que nunca los vaya a tener,,,,,
134,A nadie le parezco simpatico,Sobregeneralización,,,,,,Puede haber gente que le parezca más simpático que a otros,,,,,
135,Siempre tendré insomnio,Sobregeneralización,,,,,,El insomnio puede mejorar,,,,,
136,Siempre duermo mal,Sobregeneralización,,,,,,Hay días en los que duermo peor,,,,,
137,Nunca duermo nada,Sobregeneralización,,,,,,Hay días en los que duermo menos,,,,,
138,Mis padres siempre me juzgan ,Sobregeneralización,,,,,,A veces me puedo sentir juzgado por mis padres,,,,,
139,Nunca sabré cocinar,Sobregeneralización,,,,,,"Que ahora no sepa cocinar, no quiere decir que no pueda aprender",,,,,
140,Siempre se me darán mal los deportes,Sobregeneralización,,,,,,"Que no se me den bien ahora los deportes, no quiere decir que no pueda aprender",,,,,
141,Siempre me van a criticar,Sobregeneralización,,,,,,A veces me pueden criticar,,,,,
142,Nadie quiere salir conmigo,Sobregeneralización,,,,,,"Que haya gente que no quiera salir conmigo, no quiere decir que nunca vaya a haber nadie",,,,,
143,La vida nunca tendrá sentido ,Sobregeneralización,,,,,,"Que ahora no le encuentre sentido, no implica que no le vaya a encontrar",,,,,
144,A nadie le importan mis problemas,Sobregeneralización,,,,,,Aunque no me lo parezca hay gente a la que le importan mis problemas,,,,,
145,Mis amigos nunca me entienden,Sobregeneralización,,,,,,"Aunque me sienta incomprendido a veces, no implica que mis amigos no me entiendan",,,,,
146,Nunca lo lograré ,Sobregeneralización,,,,,,Si no lo intento no sabré si puedo lograrlo,,,,,
147,Siempre me pasa lo mismo,Sobregeneralización,,,,,,"Que me haya pasado alguna vez, no tiene porque ser así siempre",,,,,
148,Siempre voy a ser un desastre,Sobregeneralización,,,,,,Fallar a veces no me convierte en un desastre,,,,,
149,Siempre hago el ridículo,Sobregeneralización,,,,,,"Aunque crea que hago el ridículo, no tiene porque ser así",,,,,
150,Nunca tendré amigos ,Sobregeneralización,,,,,,"Aunque ahora no tenga amigos, puedo tenerlos en un futuro",,,,,
151,Todo el mundo piensa que soy un inútil ,Sobregeneralización,,,,,,"Aunque yo me sienta un inútil, no puedo saber lo que piensan los demás",,,,,
152,Siempre tendré éste problema,Sobregeneralización,,,,,,"Puede que tenga un problema dificil de solucionar, pero esto no significa que lo vaya a tener toda la vida.",,,,,
153,No puedo termniar nada,Sobregeneralización,,,,,,Que a veces no podamos terminar una cosa no significa que en otro momento podamos empezar y acabar otras cosas,,,,,
154,Nunca podré salir de esta situación,Sobregeneralización,,,,,,"A veces tenemos la sensación de que estamos atrapados, podemos bucar alternativas o ver que hemos hecho en situaiones parecidas. ",,,,,
155,Jamás aprobaré el curso,Sobregeneralización,,,,,,"Si has llegado hasta aquí, has aprobado otros cursos, igual en este pasará lo mismo",,,,,
156,La gente siempre pasa de mi,Sobregeneralización,,,,,,"Igual un día no te han avisado para quedar, pero si recuerdas habrá muchos días que has estado con gente",,,,,
