,text,pre_annotation,xavi,miriam,mireia,agreement
d_168,"Me siento deprimido, la vida no tiene sentido.",['distorsión'],['no distorsión'],['distorsión'],['distorsión'],3
d_106,"aunque ahora mismo estoy bien, estoy convencida de que va a pasar algo malo",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_166,"Siento que no puedo con esto, por tanto, no puedo.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_125,Lo que me ha pasado es muy desagradable,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_57,"Debo ir a comprar, no queda comida en casa",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_153,"No he suspendido ninguna, por lo que me podré ir de vacaciones",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_159,Hoy hubiesemos escalado una gran montaña si no fuera porque ha hecho mal tiempo.,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_24,no hay nada seguro en esta vida,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
d_74,es que soy imbecil no tengo remedio,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_144,"La mayoría votó a favor, por lo que estoy contento. ",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_163,"Ahora me siento mala persona, pero es probable que esta sensación cambie",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_52,"Mi padre tiene que jubilarse, ya tiene 65 años",['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
a_159,Quizás miró el reloj por algo ajeno y no por considerarte alguien aburrido ,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_84,"Si no estás conmigo, estás contra mí",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_92,o apruebo el examen o no tendré futuro,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_81,"No siempre me podrá ayudar, algunas veces tendrá cosas que hacer que también serán importantes ",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_149,En el trabajo me felicitaron todos excepto mi jefe. Seguro que cometí muchos errores en el proyecto,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_101,"Otras veces has ido y te has sentido bien, esta vez puede ser igual",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_156,La noche fue horrible porque nos atracaron en el portal,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_128,"A veces estoy incómodo en algunas fiestas, pero luego me lo paso bien",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_135,No será tan terrible,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_164,"Si no tengo a mis amigos de verdad, me siento solo",['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_98,"Es normal que a veces no nos sintamos bien, forma parte de la evolución de la vida",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_54,Puedo esforzarme más si quiero conseguir mejores resultados,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_197,"Le ha tocado la lotería a todos los del trabajo, yo no compré el boleto, debería haberlo pensado. ",['distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],3
t_102,"cuando salte al escenario, me sentiré diferente",['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
a_7,"Muchos días me encuentro mal, aunque algunos me encuentro bien",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_100,Me sentiria mejor conmigo mismo si estubiera más delgado,['no distorsión'],['distorsión'],['no distorsión'],['no distorsión'],3
a_95,Hay otras formas que nos ayudan a no engordar si no siempre podemos hacer ejercicio,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_197,A veces ocurren situaciones que no podemos predecir,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_198,"Marta tiene mala cara, debe de estar enfadada conmigo",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_85,Las cosas estan bien aunque no sean perfectas,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_138,"Puede que me diagnostiquen un cáncer, entonces tendré que ver qué puedo hacer, qué pronóstico y tratamientos existen",['no distorsión'],['distorsión'],['no distorsión'],['no distorsión'],3
d_150,Me prepararon una fiesta sorpresa pero fue empezar a llover y fastidiarse todo,['distorsión'],['no distorsión'],['distorsión'],['distorsión'],3
t_20,Las cosas nunca salen iguales,['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
a_84,"Puede que no siempre estemos de acuerdo con el resto de gente, cada uno tenemos nuestras ideeas y creencia, pero esto no nos situa en posiciones opuestas, podemos entendernos ",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_158,"Mi padre prefiere el rojo, pero a veces se viste de azul. Quizás no tiene claros sus gustos",['no distorsión'],['distorsión'],['no distorsión'],['no distorsión'],3
t_162,Puedo ser mala persona si siento que debo serlo,['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
d_192,"Algo va mal, seguro que he sido yo.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_141," He perdido el paraguas, soy un desastre ",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_43,La casa esta sucia podria dedicar una tarde a limpiarla,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_76,"Puede que hoy me haya equivocado, pero otras veces suelo tener una respuesta inteligente",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_48,Tengo muchos animales en casa,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_60,Debo hablar mejor a la gente o me voy a quedar solo,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_37,sé que me odian,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_140,"Será caro, pero podré hacerle frente",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_12,"A menudo tengo probelmas, todos tenemos problemas a veces",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_146,Mis padres están discutiendo y esto es algo desagradable,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_70,"Mi amiga me ha dicho ciertas cosas que no comparto y esto me ha hecho enfadar, a veces no nos ponemos de auerdo",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_103,"Te has preparado bien, no hay motivos para pensar que saldrá mal",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_92,"Este examen es importante, aunque el futuro es mucho más",['no distorsión'],[],['distorsión'],['distorsión'],2
t_115,sé que no mejoraré si no pongo de mi parte,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_122,"Aunque falles, la mayoria de cosas se pueden reparar y buscar una buena alternativa",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_88,o consigo acabar esto ahora o no podré entregarlo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_120,"me gustaría quedar con él, pero estoy convencido de que no querrá",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_169,"Puede que algo te de miedo, pero el miedo no siempre concuerda con un peligro real",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_151,"La cena que preparé le gusto a todos. Sin embargo, comentaron que las patatas estaban algo saladas. Eso quiere decir que no disfrutaron de la cena",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_65,¡qué guapa que eres!,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_72,"este vestido es horrible, nunca me lo compraria",['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
a_55,Puedo pedirle a mi pareja que sea más cariñosa conmigo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_93,si no soy el mejor en mi trabajo entonces me despedirán,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_178,Si me da ansiedad al estar entre tantas personas es porque es peligroso,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_181,No puedes saber de que se está riendo María si no se lo preguntas,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_142,Los problemas de mi hijo con la escuela son consecuencia de mi fracaso como madre.,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_10,A veces hay personas que no me quieren tanto como yo querria,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_11,"Me cuesta sentirme querida, esto no siginifca que nadie me quiera",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_66,"Muchas veces nos fijamos solo en los errores, seguro que puedes buscar momentos en los que te hayas sentido inteligente",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_195,Si han bajado las ventas en el trabajo es debido a muchos factores a parte del tuyo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_193,"Mi pareja ha llegado a casa disgustada, seguro que he hecho algo mal.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_162,"Estás triste, puede que la situación sea mala",['no distorsión'],['distorsión'],['no distorsión'],['no distorsión'],3
a_27,Tengo la sensación que yo quiero más a la gente de lo que me quieren,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_126,"Esta llegando tarde, seguro que el tren ha tenido un accidente",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_177,"Siento que no soy bueno en mi trabajo, si ellos lo pensaran ya me habrían despedido",['no distorsión'],['no distorsión'],['no distorsión'],['distorsión'],3
t_9,Todo lo que me dijo tenía sentido,['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
t_29,Estoy convencido de la decisión que acabo de tomar.,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_109,El examen de mañana seguro que me va a ir mal,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_102,No podemos saber si les va a gustar antes de enseñarlo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_8,todo lo que hago está mal,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_23,ándate con cuidado con los papeles del seguro del coche.,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_110,voy a pasar momentos complicados en mi vida,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_48,Deberían ser más amables conmigo,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_142,"Es normal que mi hijo tenga algunos problemas a lo largo de su vida, esto no me define a mi como madre, lo importante es que está a su lado para apoyarlo",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_123,"Es mejor que no lo intente, porque fracasaré y será horrible.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_11,Me gustan todos los tipos de música,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
t_73,la música del bar es inaguantable mejor buscamos un sitio más tranquilo,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
t_174,Siento que nadie me comprende. Este bicho es muy raro,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
t_193,"Me estaba mirando fijamente a los ojos, seguro que piensa que son bonitos",['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
d_98,si no estoy siempre bien me agobio mucho,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_200,"Cuando escuchaba a mi marido quejarse de lo aburrido del fin de semana, pensaba; seguro que piensa que soy aburrida",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_87,"Lo importante es hacer bien mi trabajo y cumplir con los objetivos, si es así no habrá ningun problema",['no distorsión'],['distorsión'],['no distorsión'],['distorsión'],2
t_97,O encuentro una pareja de baile o las clases que he hecho no servirán para bailar sola,['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
d_158,"Tuve una cita con un chico y, pese a que lo pasamos bien, me molestó que llegase tarde. Quizás no le intereso tanto",['distorsión'],['distorsión'],['no distorsión'],['distorsión'],3
a_25,Creo que no me quiere ,['no distorsión'],['distorsión'],['distorsión'],['no distorsión'],2
t_180,Hoy me siento triste,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_121,No podría haber ido peor,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_71,"A veces me equivoco, pero muchas otras hago las cosas bien",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_194,"Un divorcio se produce por un monton de causas, tu no has hecho nada mal para atribuirte esa culpa",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_62,los cálculos que nos han proporcionado son catastróficos,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_58,Puedo decir a mi familia que me gustaria que fuesen más amables conmigo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_60,Me iria bien trabajar mi asertividad para mejorar mis relaciones con las personas,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_128,"No voy a la fiesta porque me da terror que me rechacen, eso es lo peor, no lo podría aguantar ",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_14,"Algunas veces me equivoco, esto no quier decir que lo haga todo mal",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_24,Yo no le gusto a ella.,['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
t_5,Siempre me han gustado las matemáticas ,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_79,"He intentado arreglar mi ordenador y en lugar de esto lo he estropeado más, mejor lo llevaré a reparar.",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_114,me sentiré mal si actúo en contra de mis valores,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
d_59,"Debería hacer las cosas con más antelación, luego me pongo nervioso",['distorsión'],['no distorsión'],['distorsión'],['no distorsión'],2
d_25,"Siempre está sonriendo, pero sé que no me quiere.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_30,Seguro que piensan que no me implico lo suficiente ,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_81,o vienes o te vas,['no distorsión'],['distorsión'],['distorsión'],['no distorsión'],2
t_111,sé que no será todo perfecto siempre,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_4,Hay personas con una actitud que me desagrada,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_4,todo lo relacionado con la política me disgusta,['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
a_186,"Aunque haya pasado alguna vez, no puede ser que pase con todo el mundo",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_63,"He fallado en el encargo que tenia del trabajo y ahora me siento mal, la proxima vez intentaré hacerlo mejor",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_175, Hoy me siento un poco decaído,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_151,"Por fin ha llegado el verano, que contenta estoy!",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_137,"Mi hijo no me ha llamado para decirme que ha llegado, seguro que ha encontrado caravana y/o le está costando aparcar",['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
t_95,O descanso o luego no rindo en el gimnasio ni puedo hacer los movimientos perfectos,['no distorsión'],['distorsión'],['no distorsión'],['distorsión'],2
a_61,Actualmente cuando me miro al espejo no me veo bien,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_130,"Si suspendo el examen de mañana me enfadaré después de todo lo que he estudiado, pero me servirá de base para el próximo",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_152,"Me comentaron que la comida tenía mucha sal, por lo que debo ser un tío muy salado.",['no distorsión'],['no distorsión'],['no distorsión'],['distorsión'],3
a_184,"No tienes pruebas para saber si se han aburrido o no, aunque hubiese sido asi no tiene ninguna asociacion con que seas un pesado",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_176,"Me siento triste, por lo que debería hacer cambios en mi vida",['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
t_83,"a veces tengo el dilema de,  o me quedo en casa o salgo",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_36,Mi hermana no piensa; actúa impulsivamente.,['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
d_190,"Mis amigos no me han llamado para quedar ultimamente, seguro que es porque ya no quieren seguir viéndome.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_198,"Que Marta tenga mala cara, puede ser por muchas razones",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_135,"He cogido algo de peso, tengo que empezar a cuidar mi alimentación un poco más. ",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_90,Si no hago ejercicio engordaré,['distorsión'],['no distorsión'],['distorsión'],['no distorsión'],2
t_181,Yo no tengo la culpa,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_18,A veces me equivoco pero esto no significa que siempre me salgan las cosas mal,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_185,Sé que se están riendo de mí,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_183,¡Todo es por mi culpa!,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_164,"Me siento incompetente, luego soy incompetente.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_107,estoy segura de que me voy a equivocar por mucho que me prepare,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_150,"Que lloviera no era lo esperado, pero seguro que hay muchos otros momentos buenos de la fiesta que puedas recordar",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_168,"Es difícil encontrar el sentido en la vida cuando estás mal, pero todo puede mejorar",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_160,"Mi entrenador me felicitó por mi rendimiento, pero me sustituyó a la media parte. Sé que en el fondo no cuenta conmigo.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_127,"Mañana tengo un examen muy difícil e importante, el resultado afectará a mi expediente",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_61,"¡perfecto, vamos a ello!",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_107,"Antes de enseñarlo es dificil saber que va a pensar otra gente, es mejor enseñarlo",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_102,estoy segura de que no les va a gustar.,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_96,siento que si no lo hago perfecto no es suficiente,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_154,"Según mis amigos, tengo buen fondo. No obstante, me dicen que debería tener más tacto. Soy un mal amigo",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_149,"Se ha ido la luz, así que voy a tener que encender unas velas",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_131,"Si suspendo el examen de la próxima semana me bajará mucho la nota media, que horro!",['no distorsión'],['no distorsión'],['no distorsión'],['distorsión'],3
t_128,"Equivocarse en el nombre de un informe en la empresa, será un error grave",['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
d_61,soy imbecil,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_153,Que en ocasiones tu hijo se enfade contigo no significa que no te quiere,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_46,Tengo que comprar algo para comer,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_124,"No podemos saber como irá, a vecesa algunas cosas salen mal pero podemos hacer algo para que mejoren",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_138,Lo peor de trabajar mucho es que no te guste lo que haces,['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
d_140,"Es la ruina, el coche no arranca",['distorsión'],['no distorsión'],['distorsión'],['distorsión'],3
d_97,o está perfecto o no lo quiero,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_122,Me sabe fatal que no llegaras a tiempo,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
t_12,Nunca tomo el sol sin protección ,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_77,"Se ha vuelto a equivocar, le puedo dar otra oportunidad",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_49,Si estudio ahora iré más preparado al examen,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_26,"Pienso que la gente me odia, pero realmente no sé si es verdad",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_2,Nunca cumple con su palabra… es que siempre hace igual,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_35,"Si me dice que si, lo más probable es que le caiga bien",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_4,Todo el mundo tiene la misma actitud.,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_139,"Esta situación me está costando mucho de aguantar, será largo",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_14,Cada día como pan,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_152,He aprobado todas las asignaturas pero no han sido todo sobresalientes. Soy un desastre ,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_127,"Lo que me está pasando es horrible, no lo puedo soportar",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_196,Todo el mundo se me ha quedado mirando,['no distorsión'],['distorsión'],['distorsión'],['no distorsión'],2
t_10,Siempre estoy de buen humor,['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
a_190,"Hay muchas razones por las que no te hayan llamado tus amigos, no tiene porque ser que ya no te quieren ver",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_191,"Mi paciente  ha empeorado desde hace unas semanas, debe ser mi culpa, no le ha funcionado el tratamiento.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_99,sino quedo el primero en la carrera habré perdido,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_62,"Me molesta como se comportan algunas personas a veces, pero no todos podemos estar siempre de acuerdo",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_21,"Simplemente lo sé, estoy convencida. Piensa que soy lo peor.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_144,"La máquina de lavar se ha parado. Siempre sucede lo mismo. No lo soporto más, ya me ha fastidiado el resto del día.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_164,"Me siento incompetente ahora mismo, esto no implica que lo sea",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_118,no voy a gustarle a todo el mundo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_125,La reunion no ha salido como esperaba,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_56,Si me implico en trabajo no tengo porque tener ningun problema,['no distorsión'],['distorsión'],['no distorsión'],['distorsión'],2
t_112,me sentiré extraño al actuar distinto y eso puede ser bueno,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
t_133,Lo que me ha pasado es duro,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_95,siempre estamos igual o encontramos la forma de entendernos o yo me voy de casa,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_53,he engordado ultimamente y tengo que adelgazar,['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
d_177,Si me enfado es porque me ha hecho algo malo,['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
t_141,Soy un ser humano maravilloso porque siempre escucho a los demás,['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
t_126,En fiestas con gente desconocida lo paso muy mal,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_38,"Sé que si no ceno, por la noche tendré hambre.",['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
t_189,"El proyecto ha ido genial, me han felicitado",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_3,todos los años pasa algo,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_131,"(Después de esto) Me costará recuperarme, pero saldré adelante",['no distorsión'],['no distorsión'],['no distorsión'],['distorsión'],3
a_187,"Aunque aparezca en la discusión, mis padres se pelean a su voluntad, yo no tengo porque tener nada que ver",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_105,Si vas bien preparado no hay motivo para suspender,['no distorsión'],['distorsión'],['no distorsión'],['distorsión'],2
a_68,"Aunque me haya equivocado, esto no significa que sea un desastre. Todos nos equivocamos a veces.",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_192,"No me han llamado aún mis amigos, seguro que lo haran pronto",['no distorsión'],['no distorsión'],['no distorsión'],['distorsión'],3
a_116,"hasta que no le muestre como soy, no puedo saber si le gusto",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
