,text,pre_annotation,miriam,xavi,mireia,agreement,Rejected
a_100,Me sentiria mejor conmigo mismo si estubiera más delgado,[],"['razonamiento emocional', 'adivinación']",['adivinación'],,2.0,
d_198,"Marta tiene mala cara, debe de estar enfadada conmigo",['Personalización'],"['razonamiento emocional', 'personalización']","['leer la mente', 'abstracción selectiva']",['leer la mente'],2.0,
a_138,"Puede que me diagnostiquen un cáncer, entonces tendré que ver qué puedo hacer, qué pronóstico y tratamientos existen",[],"['personalización', 'catastrofismo']",['adivinación'],,1.0,
t_158,"Mi padre prefiere el rojo, pero a veces se viste de azul. Quizás no tiene claros sus gustos",[],['adivinación'],['pensamiento absolutista'],,1.0,
d_192,"Algo va mal, seguro que he sido yo.",['Personalización'],"['imperativos', 'personalización', 'catastrofismo', 'abstracción selectiva']",['personalización'],"['personalización', 'adivinación']",3.0,
d_141," He perdido el paraguas, soy un desastre ",['Abstracción selectiva'],"['etiquetado', 'sobregeneralización']","['etiquetado', 'abstracción selectiva']","['abstracción selectiva', 'personalización', 'etiquetado']",3.0,
d_60,Debo hablar mejor a la gente o me voy a quedar solo,"['Imperativos', 'Adivinación']","['imperativos', 'catastrofismo']",['imperativos'],"['pensamiento absolutista', 'imperativos']",3.0,
d_37,sé que me odian,['Leer la mente'],"['imperativos', 'leer la mente']",['leer la mente'],"['adivinación', 'leer la mente']",3.0,
d_120,"me gustaría quedar con él, pero estoy convencido de que no querrá",['Adivinación'],"['adivinación', 'leer la mente']","['adivinación', 'leer la mente']",['adivinación'],3.0,
d_151,"La cena que preparé le gusto a todos. Sin embargo, comentaron que las patatas estaban algo saladas. Eso quiere decir que no disfrutaron de la cena","['Abstracción selectiva', 'Leer la mente']","['sobregeneralización', 'abstracción selectiva']",['abstracción selectiva'],['abstracción selectiva'],3.0,
d_93,si no soy el mejor en mi trabajo entonces me despedirán,['Pensamiento absolutista'],"['pensamiento absolutista', 'adivinación']",['pensamiento absolutista'],"['adivinación', 'pensamiento absolutista']",3.0,
d_178,Si me da ansiedad al estar entre tantas personas es porque es peligroso,['Razonamiento emocional'],"['catastrofismo', 'razonamiento emocional']",['razonamiento emocional'],['razonamiento emocional'],3.0,
d_142,Los problemas de mi hijo con la escuela son consecuencia de mi fracaso como madre.,['Abstracción selectiva'],"['abstracción selectiva', 'personalización']",['personalización'],['sobregeneralización'],2.0,
d_193,"Mi pareja ha llegado a casa disgustada, seguro que he hecho algo mal.",['Personalización'],"['imperativos', 'catastrofismo', 'personalización']",['personalización'],"['adivinación', 'sobregeneralización']",2.0,
a_162,"Estás triste, puede que la situación sea mala",[],['razonamiento emocional'],['razonamiento emocional'],,2.0,
d_126,"Esta llegando tarde, seguro que el tren ha tenido un accidente",['Catastrofismo'],"['catastrofismo', 'imperativos', 'adivinación']",['catastrofismo'],['catastrofismo'],3.0,
a_133,"Me he equivocado en el nombre de un informe, seguramente mi jefa me dirá que me he de fijar más en estos detalles",[],"['catastrofismo', 'leer la mente']",['adivinación'],,1.0,
t_59,Tengo que hacer la comida,[],['imperativos'],['imperativos'],,2.0,
t_55,Tengo que estudiar para el examen,[],['imperativos'],['imperativos'],,2.0,
d_51,debería volver a considerar otras opciones,['Imperativos'],['imperativos'],['imperativos'],,2.0,
d_168,"Me siento deprimido, la vida no tiene sentido.",['Razonamiento emocional'],"['pensamiento absolutista', 'razonamiento emocional']",['razonamiento emocional'],['razonamiento emocional'],3.0,
t_24,no hay nada seguro en esta vida,[],"['adivinación', 'pensamiento absolutista']",['sobregeneralización'],,1.0,
t_156,La noche fue horrible porque nos atracaron en el portal,[],['abstracción selectiva'],['abstracción selectiva'],,2.0,
t_164,"Si no tengo a mis amigos de verdad, me siento solo",[],['abstracción selectiva'],[],,1.0,
t_102,"cuando salte al escenario, me sentiré diferente",[],['adivinación'],['adivinación'],['adivinación'],3.0,
d_150,Me prepararon una fiesta sorpresa pero fue empezar a llover y fastidiarse todo,['Abstracción selectiva'],['catastrofismo'],['abstracción selectiva'],"['catastrofismo', 'abstracción selectiva']",2.0,
t_20,Las cosas nunca salen iguales,[],['pensamiento absolutista'],['sobregeneralización'],[],1.0,
t_162,Puedo ser mala persona si siento que debo serlo,[],['razonamiento emocional'],['razonamiento emocional'],['razonamiento emocional'],3.0,
a_92,"Este examen es importante, aunque el futuro es mucho más",[],"['pensamiento absolutista', 'adivinación']",[],,1.0,
t_115,sé que no mejoraré si no pongo de mi parte,[],['imperativos'],['adivinación'],,1.0,
t_72,"este vestido es horrible, nunca me lo compraria",[],"['etiquetado', 'pensamiento absolutista']",['sobregeneralización'],['sobregeneralización'],2.0,
t_9,Todo lo que me dijo tenía sentido,[],['pensamiento absolutista'],,['sobregeneralización'],1.0,
d_109,El examen de mañana seguro que me va a ir mal,['Adivinación'],"['imperativos', 'adivinación']",['adivinación'],['adivinación'],3.0,
d_8,todo lo que hago está mal,['Sobregeneralización'],['pensamiento absolutista'],['sobregeneralización'],['sobregeneralización'],2.0,
d_48,Deberían ser más amables conmigo,['Imperativos'],['imperativos'],['imperativos'],['imperativos'],3.0,
d_123,"Es mejor que no lo intente, porque fracasaré y será horrible.",['Catastrofismo'],"['pensamiento absolutista', 'adivinación']",['adivinación'],['catastrofismo'],2.0,
t_11,Me gustan todos los tipos de música,[],['pensamiento absolutista'],,,1.0,
t_73,la música del bar es inaguantable mejor buscamos un sitio más tranquilo,[],['abstracción selectiva'],,,1.0,
t_174,Siento que nadie me comprende. Este bicho es muy raro,[],"['sobregeneralización', 'razonamiento emocional']",,,1.0,
t_193,"Me estaba mirando fijamente a los ojos, seguro que piensa que son bonitos",[],"['imperativos', 'leer la mente']",['leer la mente'],"['sobregeneralización', 'abstracción selectiva']",2.0,
d_98,si no estoy siempre bien me agobio mucho,['Pensamiento absolutista'],['pensamiento absolutista'],['pensamiento absolutista'],['pensamiento absolutista'],3.0,
d_200,"Cuando escuchaba a mi marido quejarse de lo aburrido del fin de semana, pensaba; seguro que piensa que soy aburrida",['Personalización'],"['abstracción selectiva', 'personalización', 'imperativos']","['personalización', 'leer la mente']","['sobregeneralización', 'pensamiento absolutista', 'razonamiento emocional']",2.0,
t_97,O encuentro una pareja de baile o las clases que he hecho no servirán para bailar sola,[],"['adivinación', 'pensamiento absolutista']",['pensamiento absolutista'],['pensamiento absolutista'],3.0,
a_25,Creo que no me quiere ,[],"['pensamiento absolutista', 'leer la mente']",['leer la mente'],,2.0,
d_121,No podría haber ido peor,['Catastrofismo'],['catastrofismo'],['catastrofismo'],['catastrofismo'],3.0,
t_62,los cálculos que nos han proporcionado son catastróficos,[],"['catastrofismo', 'pensamiento absolutista']",,,1.0,
d_128,"No voy a la fiesta porque me da terror que me rechacen, eso es lo peor, no lo podría aguantar ",['Catastrofismo'],"['pensamiento absolutista', 'sobregeneralización', 'catastrofismo']",['catastrofismo'],"['catastrofismo', 'razonamiento emocional']",3.0,
d_24,Yo no le gusto a ella.,['Leer la mente'],"['leer la mente', 'pensamiento absolutista', 'catastrofismo']",['leer la mente'],,2.0,
t_5,Siempre me han gustado las matemáticas ,[],['pensamiento absolutista'],,,1.0,
t_114,me sentiré mal si actúo en contra de mis valores,[],"['razonamiento emocional', 'adivinación']",,,1.0,
d_59,"Debería hacer las cosas con más antelación, luego me pongo nervioso",['Imperativos'],['imperativos'],,,1.0,
d_25,"Siempre está sonriendo, pero sé que no me quiere.",['Leer la mente'],"['pensamiento absolutista', 'leer la mente']","['abstracción selectiva', 'leer la mente']","['adivinación', 'leer la mente']",3.0,
d_30,Seguro que piensan que no me implico lo suficiente ,['Leer la mente'],"['personalización', 'leer la mente']",['leer la mente'],['leer la mente'],3.0,
t_81,o vienes o te vas,[],['pensamiento absolutista'],['pensamiento absolutista'],,2.0,
t_111,sé que no será todo perfecto siempre,[],"['imperativos', 'pensamiento absolutista']",,,1.0,
t_4,todo lo relacionado con la política me disgusta,[],['pensamiento absolutista'],,['sobregeneralización'],1.0,
a_137,"Mi hijo no me ha llamado para decirme que ha llegado, seguro que ha encontrado caravana y/o le está costando aparcar",[],['adivinación'],,['abstracción selectiva'],1.0,
d_176,"Me siento triste, por lo que debería hacer cambios en mi vida","['Razonamiento emocional', 'Imperativos']","['razonamiento emocional', 'imperativos']",['razonamiento emocional'],,2.0,
t_36,Mi hermana no piensa; actúa impulsivamente.,[],[],['leer la mente'],['sobregeneralización'],1.0,
d_190,"Mis amigos no me han llamado para quedar ultimamente, seguro que es porque ya no quieren seguir viéndome.",['Personalización'],"['adivinación', 'leer la mente']","['abstracción selectiva', 'personalización']","['abstracción selectiva', 'sobregeneralización']",2.0,
d_90,Si no hago ejercicio engordaré,['Pensamiento absolutista'],['pensamiento absolutista'],,,1.0,
d_185,Sé que se están riendo de mí,"['Personalización', 'Leer la mente']","['imperativos', 'leer la mente']",['leer la mente'],['leer la mente'],3.0,
d_183,¡Todo es por mi culpa!,"['Personalización', 'Sobregeneralización']",['pensamiento absolutista'],['personalización'],['sobregeneralización'],1.0,
d_164,"Me siento incompetente, luego soy incompetente.","['Razonamiento emocional', 'Etiquetado']",['razonamiento emocional'],['razonamiento emocional'],['razonamiento emocional'],3.0,
d_107,estoy segura de que me voy a equivocar por mucho que me prepare,['Adivinación'],['adivinación'],['adivinación'],"['sobregeneralización', 'adivinación']",3.0,
d_160,"Mi entrenador me felicitó por mi rendimiento, pero me sustituyó a la media parte. Sé que en el fondo no cuenta conmigo.","['Abstracción selectiva', 'Leer la mente']","['imperativos', 'personalización']",['abstracción selectiva'],"['abstracción selectiva', 'adivinación']",2.0,
d_102,estoy segura de que no les va a gustar.,['Adivinación'],['pensamiento absolutista'],['adivinación'],['adivinación'],2.0,
d_96,siento que si no lo hago perfecto no es suficiente,['Pensamiento absolutista'],"['razonamiento emocional', 'pensamiento absolutista']",['pensamiento absolutista'],"['pensamiento absolutista', 'razonamiento emocional']",3.0,
d_154,"Según mis amigos, tengo buen fondo. No obstante, me dicen que debería tener más tacto. Soy un mal amigo","['Abstracción selectiva', 'Etiquetado']","['pensamiento absolutista', 'catastrofismo', 'personalización', 'sobregeneralización']",['abstracción selectiva'],['etiquetado'],1.0,
t_128,"Equivocarse en el nombre de un informe en la empresa, será un error grave",[],"['catastrofismo', 'pensamiento absolutista']",,,1.0,
d_61,soy imbecil,['Etiquetado'],['etiquetado'],['etiquetado'],['etiquetado'],3.0,
t_46,Tengo que comprar algo para comer,[],['imperativos'],,,1.0,
t_138,Lo peor de trabajar mucho es que no te guste lo que haces,[],['pensamiento absolutista'],,['sobregeneralización'],1.0,
d_140,"Es la ruina, el coche no arranca",['Catastrofismo'],['abstracción selectiva'],,['catastrofismo'],1.0,
d_97,o está perfecto o no lo quiero,['Pensamiento absolutista'],['pensamiento absolutista'],['pensamiento absolutista'],['pensamiento absolutista'],3.0,
t_122,Me sabe fatal que no llegaras a tiempo,[],['abstracción selectiva'],,,1.0,
t_12,Nunca tomo el sol sin protección ,[],['pensamiento absolutista'],,,1.0,
d_2,Nunca cumple con su palabra… es que siempre hace igual,['Sobregeneralización'],['pensamiento absolutista'],['sobregeneralización'],['sobregeneralización'],2.0,
d_4,Todo el mundo tiene la misma actitud.,['Sobregeneralización'],"['sobregeneralización', 'pensamiento absolutista']",['sobregeneralización'],['sobregeneralización'],3.0,
d_152,He aprobado todas las asignaturas pero no han sido todo sobresalientes. Soy un desastre ,"['Abstracción selectiva', 'Etiquetado']","['etiquetado', 'sobregeneralización']","['abstracción selectiva', 'etiquetado']","['etiquetado', 'pensamiento absolutista', 'sobregeneralización']",3.0,
d_127,"Lo que me está pasando es horrible, no lo puedo soportar",['Catastrofismo'],['pensamiento absolutista'],['catastrofismo'],['catastrofismo'],2.0,
t_196,Todo el mundo se me ha quedado mirando,[],"['personalización', 'leer la mente']",[],,1.0,
t_10,Siempre estoy de buen humor,[],['pensamiento absolutista'],['sobregeneralización'],['sobregeneralización'],2.0,
d_191,"Mi paciente  ha empeorado desde hace unas semanas, debe ser mi culpa, no le ha funcionado el tratamiento.",['Personalización'],"['personalización', 'abstracción selectiva']",['personalización'],"['abstracción selectiva', 'adivinación']",2.0,
d_99,sino quedo el primero en la carrera habré perdido,['Pensamiento absolutista'],['pensamiento absolutista'],['pensamiento absolutista'],['pensamiento absolutista'],3.0,
d_21,"Simplemente lo sé, estoy convencida. Piensa que soy lo peor.",['Leer la mente'],['leer la mente'],['leer la mente'],['leer la mente'],3.0,
d_144,"La máquina de lavar se ha parado. Siempre sucede lo mismo. No lo soporto más, ya me ha fastidiado el resto del día.","['Abstracción selectiva', 'Sobregeneralización']",['abstracción selectiva'],['catastrofismo'],"['sobregeneralización', 'pensamiento absolutista', 'abstracción selectiva']",2.0,
t_112,me sentiré extraño al actuar distinto y eso puede ser bueno,[],['adivinación'],,,1.0,
d_95,siempre estamos igual o encontramos la forma de entendernos o yo me voy de casa,"['Pensamiento absolutista', 'Sobregeneralización']",['pensamiento absolutista'],['pensamiento absolutista'],['pensamiento absolutista'],3.0,
d_53,he engordado ultimamente y tengo que adelgazar,['Imperativos'],['imperativos'],['imperativos'],,2.0,
d_177,Si me enfado es porque me ha hecho algo malo,['Razonamiento emocional'],['razonamiento emocional'],['razonamiento emocional'],,2.0,
t_141,Soy un ser humano maravilloso porque siempre escucho a los demás,[],['sobregeneralización'],['abstracción selectiva'],['abstracción selectiva'],2.0,
t_38,"Sé que si no ceno, por la noche tendré hambre.",[],['imperativos'],,,1.0,
t_3,todos los años pasa algo,[],['pensamiento absolutista'],,,1.0,
t_200,Hay pocas cosas que me hagan reír,[],['catastrofismo'],,,1.0,
d_58,mi familia tiene que ser más amable conmigo,['Imperativos'],['imperativos'],['imperativos'],['imperativos'],3.0,
d_122,Las consecuencias serían insoportables… fracasaría y sería horrible.,['Catastrofismo'],['catastrofismo'],['catastrofismo'],['catastrofismo'],3.0,
t_40,Estoy convencido de que mañana ganaremos el partido,[],['pensamiento absolutista'],,['adivinación'],1.0,
d_72,soy completamente idiota,['Etiquetado'],['etiquetado'],['etiquetado'],['etiquetado'],3.0,
d_153,Mi hijo dice que me quiere pero a veces se enfada conmigo. Quizás no me quiere tanto,['Abstracción selectiva'],['abstracción selectiva'],['abstracción selectiva'],['abstracción selectiva'],3.0,
d_32,"siempre está sonriendo, pero sé que me odia",['Leer la mente'],['leer la mente'],['leer la mente'],['adivinación'],2.0,
t_79,El ruido que hacen las obras es insoportable,[],['pensamiento absolutista'],[],['catastrofismo'],1.0,
d_124,Todo irá mal,['Catastrofismo'],['pensamiento absolutista'],['adivinación'],"['adivinación', 'sobregeneralización']",2.0,
a_45,"Si acabo los temas abiertos de trabajo antes de vacaciones, estaré más tranquilo ",[],['adivinación'],,,1.0,
t_123,"ja ja ja, qué gracioso, ¡eres terrible!",[],['etiquetado'],,['etiquetado'],2.0,
d_119,si voy a la fiesta voy a ser el hazmerreir ,['Adivinación'],['adivinación'],['adivinación'],['adivinación'],3.0,
t_134,Para mí es insoportable estar tranquilo en sitios cerrados,[],['pensamiento absolutista'],[],['catastrofismo'],1.0,
d_129,Es mejor que no lo intente porque seguro que me saldrá mal y será insoportable,['Catastrofismo'],"['pensamiento absolutista', 'adivinación']",['adivinación'],"['adivinación', 'catastrofismo']",3.0,
d_118,"prefiero no hacerlo, seguro que me sale mal",['Adivinación'],['adivinación'],['adivinación'],"['catastrofismo', 'sobregeneralización']",2.0,
d_44,debería planificar las vacaciones y buscar con quién dejar a los niños mientras yo no estoy,['Imperativos'],['imperativos'],,,1.0,
t_47,Deberia avisar de que me voy,[],['imperativos'],,,1.0,
d_6,nunca me salen bien las cosas,['Sobregeneralización'],['pensamiento absolutista'],['sobregeneralización'],['sobregeneralización'],2.0,
t_18,Siempre pasan cosas,[],['pensamiento absolutista'],,,1.0,
d_147,Mis padres están gritando. Creo que se van a divorciar.,"['Abstracción selectiva', 'Adivinación']",['abstracción selectiva'],['abstracción selectiva'],"['adivinación', 'abstracción selectiva']",3.0,
t_80,Me siento inutil leyendo cosas que no entiendo,[],['etiquetado'],['etiquetado'],[],2.0,
d_81,O me ayuda o no quiero saber nada de esa persona.,['Pensamiento absolutista'],['pensamiento absolutista'],['pensamiento absolutista'],['pensamiento absolutista'],3.0,
d_175,"Me siento mal por haberle dicho la verdad a mi amiga, seguro que he hecho algo malo",['Razonamiento emocional'],"['imperativos', 'catastrofismo', 'adivinación']",['razonamiento emocional'],"['adivinación', 'razonamiento emocional', 'sobregeneralización']",2.0,
d_139,"Si no me quiere será terrible, un horror",['Catastrofismo'],"['catastrofismo', 'pensamiento absolutista']",['catastrofismo'],"['catastrofismo', 'adivinación']",3.0,
t_82,"si no vienes, te lo vas a perder",[],['adivinación'],,,1.0,
d_31,Estoy seguro que mis amigos creen que deberia estar más atenta a sus necesidades y que ultimamente paso de ellos,"['Leer la mente', 'Imperativos']",['imperativos'],['leer la mente'],['adivinación'],1.0,
a_132,"Me noto el corazón muy acelerado, debo de estar nervioso",[],['abstracción selectiva'],['razonamiento emocional'],,1.0,
d_73,soy asqueroso,['Etiquetado'],['etiquetado'],['etiquetado'],['etiquetado'],3.0,
t_27,Estoy convencido de que todo saldrá bien ,[],['pensamiento absolutista'],['adivinación'],"['sobregeneralización', 'razonamiento emocional']",1.0,
t_124,las consecuencias del incendio han sido terribles ,[],['catastrofismo'],,,1.0,
d_16,casi nunca estoy bien,['Sobregeneralización'],[],['sobregeneralización'],,1.0,
d_88,me encuentro muy cansada si no termino la investigación se acabó,['Pensamiento absolutista'],['pensamiento absolutista'],['catastrofismo'],,1.0,
d_7,siempre me encuentro igual de mal,['Sobregeneralización'],['pensamiento absolutista'],['sobregeneralización'],,1.0,
t_25,estoy segura que mañana lloverá,[],[],,['sobregeneralización'],1.0,
d_55,mi pareja tendría que ser más cariñoso conmigo,['Imperativos'],['imperativos'],['imperativos'],['imperativos'],3.0,
d_70,soy lo peor,['Etiquetado'],['etiquetado'],['etiquetado'],['etiquetado'],3.0,
d_42,deberían de ser más amables conmigo,['Imperativos'],['imperativos'],['imperativos'],['imperativos'],3.0,
t_58,"Tengo que ir al médico, me encuentro mal",[],['imperativos'],,,1.0,
t_121,la clase de catalán duró 3 horas. Fue horrible.,[],"['catastrofismo', 'abstracción selectiva']",,"['catastrofismo', 'abstracción selectiva']",2.0,
d_179,Si me siento un perdedor es porque lo soy,"['Razonamiento emocional', 'Etiquetado']",['razonamiento emocional'],['razonamiento emocional'],['razonamiento emocional'],3.0,
d_50,tengo que hacer muchas cosas pero nunca tengo tiempo,['Imperativos'],"['imperativos', 'pensamiento absolutista']",['sobregeneralización'],,1.0,
d_173,"Siento que todo es demasiado complicado, por tanto, debe serlo",['Razonamiento emocional'],['razonamiento emocional'],['razonamiento emocional'],['razonamiento emocional'],3.0,
d_138,"Si me diagnostican un cáncer sería lo peor del mundo, se acabaría toda mi vida",['Catastrofismo'],['catastrofismo'],['catastrofismo'],['catastrofismo'],3.0,
t_64,quedarse sin cenar es lo peor,[],['catastrofismo'],,['sobregeneralización'],1.0,
t_63,ese tío es asquerosamente rico,[],['etiquetado'],,['etiquetado'],2.0,
d_186,Creo que pongo nervioso a todo el mundo.,['Personalización'],['pensamiento absolutista'],['sobregeneralización'],"['razonamiento emocional', 'sobregeneralización']",2.0,
d_172,"Si siento que no vale la pena esforzarme, es porque realmente no vale la pena",['Razonamiento emocional'],['razonamiento emocional'],['razonamiento emocional'],['razonamiento emocional'],3.0,
d_188,"Mi compañero de trabajo me ha mirado mal esta mañana, seguro que es porque le caigo mal.","['Personalización', 'Leer la mente']","['pensamiento absolutista', 'leer la mente']",['abstracción selectiva'],"['abstracción selectiva', 'adivinación']",2.0,
d_9,siento constantemente que a nadie le importo,['Sobregeneralización'],"['razonamiento emocional', 'pensamiento absolutista']",['razonamiento emocional'],['sobregeneralización'],2.0,
d_125,La reunión fue un desastre,['Catastrofismo'],['catastrofismo'],,['catastrofismo'],2.0,
t_70,"mis compañeros son malos en fútbol, no le salen bien ningun pase",[],"['pensamiento absolutista', 'etiquetado']",['sobregeneralización'],,1.0,
t_22,"estoy convencido de que el examen te va a ir bien, ya que has estudiado para ello.",[],['pensamiento absolutista'],,['adivinación'],1.0,
d_103,Me va a ir mal en este examen.,['Adivinación'],"['pensamiento absolutista', 'adivinación']",['adivinación'],['adivinación'],3.0,
d_33,"aunque me dice que me quiere, estoy convencida de que miente",['Leer la mente'],['leer la mente'],"['leer la mente', 'abstracción selectiva']",['sobregeneralización'],2.0,
t_172,"Si me enfado es porque, en mi opinión, me ha hecho algo malo",[],[],['razonamiento emocional'],,1.0,
d_15,nunca podré hacer mi tarea,"['Sobregeneralización', 'Adivinación']",['pensamiento absolutista'],['sobregeneralización'],['sobregeneralización'],2.0,
d_180,"¿Como no va a ser injusto, si me siento así de mal?",['Razonamiento emocional'],[],['razonamiento emocional'],,1.0,
d_162,"¡Estás triste, así que la situación debe ser muy mala!",['Razonamiento emocional'],"['catastrofismo', 'razonamiento emocional']",['razonamiento emocional'],,2.0,
t_183,"Se ha cancelado el vuelo, es culpa de la compañía aerea",[],[],['abstracción selectiva'],,1.0,
d_23,El ascensorista piensa que soy un don nadie.,['Leer la mente'],[],['leer la mente'],"['leer la mente', 'etiquetado']",2.0,
d_69,"soy un desastre, siempre me equivoco","['Etiquetado', 'Sobregeneralización']","['etiquetado', 'pensamiento absolutista']",['sobregeneralización'],"['etiquetado', 'sobregeneralización']",2.0,
t_45,tengo que mirar como llegar a casa desde aquí,[],['imperativos'],,,1.0,
t_195,"Mi madre se ha enfermado, es su culpa por no ir con más cuidado",[],[],['abstracción selectiva'],['etiquetado'],1.0,
d_64,soy completamente imbécil,['Etiquetado'],['etiquetado'],['etiquetado'],"['etiquetado', 'sobregeneralización']",3.0,
d_116,Seguro que no le gusto,['Adivinación'],['imperativos'],['adivinación'],"['sobregeneralización', 'adivinación']",2.0,
t_90,o me lo apunto en la agenda o me olvidaré,[],['pensamiento absolutista'],,,1.0,
d_189,"Me han llamado del colegio porque mi hijo se ha portado mal, es mi culpa porque no le he educado bien,",['Personalización'],"['personalización', 'abstracción selectiva']",['personalización'],"['abstracción selectiva', 'adivinación', 'personalización']",3.0,
d_161,Siento pavor a subirme a un avión. Volar es muy peligroso.,"['Razonamiento emocional', 'Catastrofismo']","['abstracción selectiva', 'sobregeneralización']",['razonamiento emocional'],['razonamiento emocional'],2.0,
t_150,Dicen que soy muy simatico porque siempre hago reir a la gente,[],['abstracción selectiva'],,,1.0,
d_34,"aunque me ayuda, sé que no me quiere",['Leer la mente'],['leer la mente'],['abstracción selectiva'],['leer la mente'],2.0,
d_45,debería zanjar todos los temas de trabajo urgentemente,['Imperativos'],['imperativos'],,,1.0,
d_82,"O está impecable, o está sucio",['Pensamiento absolutista'],['pensamiento absolutista'],['pensamiento absolutista'],['pensamiento absolutista'],3.0,
t_2,no comparto nada de lo que dices,[],['pensamiento absolutista'],['sobregeneralización'],,1.0,
t_166,"Te sientas o no deprimido, la vida no tiene un sentido. Se lo damos.",[],['pensamiento absolutista'],,,1.0,
d_195,"Este mes en el trabajo han bajado mucho las ventas, debería haber trabajado más y mejor.","['Personalización', 'Imperativos']",['imperativos'],['imperativos'],,2.0,
d_110,"Mañana es el primer día de trabajo, seguro que me equivoco",['Adivinación'],['adivinación'],['adivinación'],"['sobregeneralización', 'adivinación']",3.0,
d_89,Estoy muy agobiado estos días. O apruebo las oposiciones o no sé qué haré,['Pensamiento absolutista'],['razonamiento emocional'],['pensamiento absolutista'],['pensamiento absolutista'],2.0,
t_84,o comemos arroz o pasta,[],[],,,,Yes
t_35,Se piensa mejor cuando se duerme bien ,[],['abstracción selectiva'],,,1.0,
d_49,Tengo que estudiar mínimo 2 horas al día como sea ,['Imperativos'],['imperativos'],['imperativos'],['imperativos'],3.0,
d_77,no soy nada inteligente,['Etiquetado'],['pensamiento absolutista'],['etiquetado'],['etiquetado'],2.0,
d_5,Nadie me quiere.,['Sobregeneralización'],['pensamiento absolutista'],['sobregeneralización'],['sobregeneralización'],2.0,
d_131,"Después de esto ya no hay solución, mi vida será un horror",['Catastrofismo'],"['abstracción selectiva', 'catastrofismo', 'sobregeneralización']",['catastrofismo'],"['sobregeneralización', 'adivinación']",2.0,
d_184,Durante la presentación que he hecho creo que se han aburrido porque soy un pesado.,"['Personalización', 'Leer la mente', 'Etiquetado']","['personalización', 'leer la mente']","['etiquetado', 'leer la mente']","['etiquetado', 'leer la mente']",3.0,
d_181,María se está riendo; seguro que es de mí.,['Personalización'],['leer la mente'],['personalización'],['leer la mente'],2.0,
d_115,Me quedaré en blanco en el examen,['Adivinación'],['adivinación'],['adivinación'],['adivinación'],3.0,
t_103,"si no pongo suficiente sal, la comida me saldrá insulsa",[],"['adivinación', 'abstracción selectiva']",,,1.0,
t_179,Si te sientes feliz te fijarás más en  las cosas buenas que te pasan,[],['sobregeneralización'],,,1.0,
t_130,La reparación será bastante cara,[],[],,,,Yes
d_43,debería limpiar más mi casa porque siempre está muy sucia,['Imperativos'],['pensamiento absolutista'],,,1.0,
